participant,condition,window_index,head_rotation_rad_min,head_rotation_rad_max,head_rotation_rad_rms,head_rotation_rad_mean,blink_aperture_min,blink_aperture_max,blink_aperture_rms,blink_aperture_mean,mouth_aperture_min,mouth_aperture_max,mouth_aperture_rms,mouth_aperture_mean,pupil_dx_min,pupil_dx_max,pupil_dx_rms,pupil_dx_mean,pupil_dy_min,pupil_dy_max,pupil_dy_rms,pupil_dy_mean,pupil_metric_min,pupil_metric_max,pupil_metric_rms,pupil_metric_mean,center_face_magnitude_min,center_face_magnitude_max,center_face_magnitude_rms,center_face_magnitude_mean,center_face_x_min,center_face_x_max,center_face_x_rms,center_face_x_mean,center_face_y_min,center_face_y_max,center_face_y_rms,center_face_y_mean,head_rotation_rad_vel_min,head_rotation_rad_vel_max,head_rotation_rad_vel_rms,head_rotation_rad_vel_mean,head_rotation_rad_acc_min,head_rotation_rad_acc_max,head_rotation_rad_acc_rms,head_rotation_rad_acc_mean,blink_aperture_vel_min,blink_aperture_vel_max,blink_aperture_vel_rms,blink_aperture_vel_mean,blink_aperture_acc_min,blink_aperture_acc_max,blink_aperture_acc_rms,blink_aperture_acc_mean,mouth_aperture_vel_min,mouth_aperture_vel_max,mouth_aperture_vel_rms,mouth_aperture_vel_mean,mouth_aperture_acc_min,mouth_aperture_acc_max,mouth_aperture_acc_rms,mouth_aperture_acc_mean,pupil_dx_vel_min,pupil_dx_vel_max,pupil_dx_vel_rms,pupil_dx_vel_mean,pupil_dx_acc_min,pupil_dx_acc_max,pupil_dx_acc_rms,pupil_dx_acc_mean,pupil_dy_vel_min,pupil_dy_vel_max,pupil_dy_vel_rms,pupil_dy_vel_mean,pupil_dy_acc_min,pupil_dy_acc_max,pupil_dy_acc_rms,pupil_dy_acc_mean,pupil_metric_vel_min,pupil_metric_vel_max,pupil_metric_vel_rms,pupil_metric_vel_mean,pupil_metric_acc_min,pupil_metric_acc_max,pupil_metric_acc_rms,pupil_metric_acc_mean,center_face_magnitude_vel_min,center_face_magnitude_vel_max,center_face_magnitude_vel_rms,center_face_magnitude_vel_mean,center_face_magnitude_acc_min,center_face_magnitude_acc_max,center_face_magnitude_acc_rms,center_face_magnitude_acc_mean,center_face_x_vel_min,center_face_x_vel_max,center_face_x_vel_rms,center_face_x_vel_mean,center_face_x_acc_min,center_face_x_acc_max,center_face_x_acc_rms,center_face_x_acc_mean,center_face_y_vel_min,center_face_y_vel_max,center_face_y_vel_rms,center_face_y_vel_mean,center_face_y_acc_min,center_face_y_acc_max,center_face_y_acc_rms,center_face_y_acc_mean
402,H,0,0.101935912,0.901368381,0.648495806,0.642893213,0,11.54206306,8.512454918,8.290057724,0,11.82679428,1.605771055,0.569424646,0,12.41964703,6.891658464,6.809569468,1.09959965,12.73126977,7.045638034,6.884732721,0,12.58708274,4.826256161,4.604872329,0.217882473,12.31979773,3.005981049,2.387401838,0.006614427,11.49482985,2.767466428,2.078118076,0,12.31974356,2.382939741,1.709525282,-1.485594443,1.56541266,0.110936505,-0.000327273,-0.679042101,0.99387776,0.059705078,0.000135036,-1.531200436,1.397895671,0.234154721,0.001304682,-0.811979293,0.690986685,0.116063678,0.000221381,-2.110485072,2.912363935,0.289475903,-0.000404656,-1.169350854,1.452056692,0.139782964,-0.000203696,-2.666019807,2.873190594,0.290809523,0.000205439,-1.741617973,1.750328076,0.175603343,-0.000151636,-2.431385173,3.195249016,0.363516447,0.00023516,-1.230115597,2.111761611,0.213943135,-0.000690396,-4.055337543,3.405643678,0.384875595,3.29E-05,-3.049845931,2.651632689,0.247742259,0.000659584,-0.728520057,0.912853405,0.104323413,-0.001692591,-0.289876864,0.299317059,0.029810956,-5.23E-06,-0.807844516,0.757325243,0.101363088,-0.000213225,-0.16955796,0.534559679,0.02543936,3.35E-05,-0.72240726,0.923603858,0.106217501,-0.001693821,-0.291045394,0.328247876,0.033924018,-3.88E-05
402,H,1,0,0.901368381,0.634855327,0.618319285,2.226925356,11.17953048,8.196034069,8.001702073,2.39E-05,11.82679428,1.986369213,0.848978339,0,12.41964703,6.977949581,6.905407276,1.09959965,12.73126977,7.013220374,6.853450581,0,11.86890163,4.72598789,4.531875681,0.217882473,6.068150577,2.593209135,2.235329199,0.006614427,8.366010001,2.72050805,2.195619611,0.053680487,5.077448627,1.861677799,1.482017963,-1.596654714,1.56541266,0.12897702,0.000190971,-0.670072131,0.997187557,0.071700947,0.000113772,-1.281438857,1.618319842,0.21532862,0.000244912,-0.811979293,0.703306824,0.114431932,0.000151857,-2.183245385,2.912363935,0.350648116,-0.000141586,-1.455562833,1.452056692,0.170627345,-0.000217204,-2.666019807,2.873190594,0.281266828,0.000553807,-1.741617973,1.750328076,0.17142756,-0.000303223,-2.431385173,3.195249016,0.358960671,0.000588476,-1.284979668,2.111761611,0.207528169,-0.000489939,-4.055337543,3.405643678,0.375128001,-0.000642145,-3.049845931,2.651632689,0.240866079,0.00057878,-0.338233352,0.482757587,0.070123516,-0.000609869,-0.156249378,0.149927627,0.021773198,-1.96E-05,-0.455371824,0.426546639,0.077229563,-9.85E-05,-0.084931062,0.153057561,0.020557507,-1.69E-05,-0.422508043,0.489536921,0.072509641,-0.000775438,-0.159493188,0.290706422,0.027589763,-2.03E-05
402,H,2,0,1,0.604032243,0.586214754,2.226925356,12.26953262,8.439390048,8.257991169,0.000129475,11.64128561,1.67851854,0.697264683,4.090952998,10.94399628,6.823842385,6.777124787,0,11.92684428,6.823535305,6.666023724,0.071268981,13.72581374,4.931571081,4.770276169,0.008671162,6.757727893,2.400705242,1.983199403,0.013985063,8.243386189,2.704936073,2.198659116,0.042747785,4.383810957,1.589856076,1.162834776,-2.492269321,4.320036618,0.169747606,0.00021414,-2.320669531,1.87209647,0.100435602,-0.000112559,-1.689864719,1.618319842,0.199150708,0.000238753,-1.084976759,0.815060512,0.105919089,-2.87E-05,-2.183245385,2.739371503,0.265722541,-6.21E-06,-1.455562833,0.956940321,0.130628597,-2.13E-06,-1.360597443,1.468072809,0.209083648,-0.000398692,-0.972644485,0.738845846,0.123632951,-8.97E-05,-2.741263719,2.360907086,0.297433367,-0.000796362,-1.284979668,1.859511315,0.171791357,4.09E-06,-2.868402135,2.223757604,0.283703875,0.00091748,-1.851943584,1.200923066,0.166273086,-0.000129828,-0.305706044,0.511595441,0.060000907,-7.92E-05,-0.156249378,0.164453433,0.018588622,4.16E-06,-0.322562427,0.301768966,0.066830888,-7.98E-05,-0.076308448,0.146493344,0.017478855,-2.72E-05,-0.422508043,0.484118931,0.064784321,-4.63E-05,-0.159493188,0.361773748,0.024901419,1.17E-05
402,L,0,0,1,0.543030153,0.532031743,0,11.44652626,7.822045167,7.637655257,5.26E-07,1.731218689,0.315997211,0.204266215,0,11.45668273,6.270985354,6.231624719,0,11.58023704,8.191104609,8.104626842,0,11.93494397,2.989962502,2.828236893,0.046729818,11.87516127,1.954586106,1.089390813,0.01628033,10.24262095,2.336549845,1.533523965,0.02064623,11.88361172,1.873062214,0.92957762,-2.194787442,1.805795384,0.118656924,5.19E-05,-1.428045237,0.858285901,0.063545718,3.18E-05,-1.118766321,1.272694644,0.195947049,-0.000353978,-0.534400461,0.471916452,0.100085973,9.63E-05,-0.508867114,0.45842561,0.094765187,0.000191681,-0.356494704,0.351708372,0.06652675,-2.94E-05,-2.783542441,1.900882944,0.181025408,-0.000357037,-1.342107693,1.447598476,0.101578522,0.000135326,-3.092543651,1.907904238,0.284964831,0.000977617,-1.416992196,1.574887418,0.162577294,-0.00020357,-2.425770065,3.758638183,0.248131788,-0.001024588,-1.996433643,1.714773901,0.142989374,0.000226467,-0.438107793,0.700380665,0.057773579,-0.000423826,-0.17931285,0.219709528,0.01572648,1.75E-05,-0.740210675,0.791871257,0.097363625,-0.000549194,-0.190585275,0.383080056,0.027414176,2.68E-05,-0.502935992,0.742143229,0.0591196,-0.000387612,-0.187842567,0.291245958,0.01781826,2.98E-06
402,L,1,0,0.774665043,0.515068046,0.505978164,1.77495946,10.28308925,7.634893491,7.52326058,5.26E-07,11.76494941,1.258240549,0.403421084,3.89870549,11.45668273,6.104386174,6.064761933,0,11.58023704,8.053177152,7.979953508,0.361492973,10.71956124,3.108930617,2.993953849,0,3.658080878,1.118079527,0.896337326,0,8.35251435,2.14112368,1.519356422,0.00919422,3.018762432,0.90506509,0.696667892,-0.762762126,0.722049899,0.090012167,-0.000167932,-0.523171741,0.316302507,0.048228601,-8.05E-05,-1.118766321,1.272694644,0.183903487,-0.000140539,-0.534400461,0.471916452,0.094373466,0.000127569,-2.188711653,1.883359095,0.182888422,0.000118684,-0.920260451,0.832702337,0.100582471,5.20E-05,-0.715425205,1.493009707,0.149186867,-0.000270301,-0.721934616,0.60496902,0.083845343,-3.69E-05,-2.325824605,1.375099231,0.23305334,-0.000347578,-0.848877706,1.222036047,0.133227605,0.000105911,-1.13371894,2.408062065,0.187144118,0.000146361,-1.17559833,0.906571048,0.106712159,-6.67E-05,-0.180297036,0.35394157,0.038345928,-4.26E-05,-0.096657859,0.117277772,0.012627947,1.71E-05,-0.740210675,0.539441538,0.080095784,2.82E-05,-0.190585275,0.325256197,0.023269204,2.44E-05,-0.184450286,0.358888261,0.036788966,-2.75E-05,-0.109535495,0.125547489,0.014450897,8.40E-06
402,L,2,0.204652781,0.889950717,0.492439508,0.479778723,2.073298649,9.578683039,7.602574711,7.52629603,6.02E-07,11.76494941,1.634703947,0.575671768,3.89870549,9.135991103,6.084840157,6.035313913,4.780463222,11.55287344,7.99475672,7.930421554,0.361492973,5.895510709,3.225706832,3.111813676,0,4.921401796,1.273670929,1.053974493,0,11.97549852,2.648388608,2.008448581,0,3.018762432,0.958332362,0.748850042,-0.649297383,0.722049899,0.084197552,-0.000178196,-0.523171741,0.306838211,0.043837606,-8.00E-05,-0.94505722,0.834978001,0.15608874,4.36E-05,-0.445150346,0.445151865,0.082388135,0.000152732,-2.188711653,1.883359095,0.230256621,-0.000185259,-0.923368762,0.90869332,0.119387598,5.76E-05,-0.715425205,0.958761986,0.164229209,-0.00021424,-0.47338798,0.431709571,0.092775618,5.73E-05,-0.936632085,1.233049899,0.201160362,0.00016522,-0.678540377,0.665522039,0.112929766,5.08E-06,-0.887190352,0.746070777,0.17984209,-3.10E-05,-0.477739379,0.448390934,0.101000169,-1.14E-05,-0.180297036,0.35394157,0.039949303,-0.000177977,-0.069761987,0.117277772,0.012653729,8.23E-06,-0.394084316,0.541163098,0.081473018,-0.000432449,-0.159589736,0.243560621,0.0226444,1.01E-05,-0.270008371,0.358888261,0.042260756,-0.000118672,-0.084654589,0.159837418,0.015942912,7.68E-06
402,M,0,0,0.881030617,0.488543052,0.478215181,0,12.39807715,8.163404422,8.003926395,0,11.92273084,1.392525997,0.502314892,0,12.17764403,7.910984046,7.843343102,0.916095572,10.01453097,4.817403856,4.643658123,0.001696606,10.43703498,4.523169405,4.358582908,0.101855182,11.51029579,2.361762178,1.853976553,0.008232385,9.822290488,2.770873271,2.195471965,0,11.58968128,1.79730791,1.164192377,-2.209556925,2.469804788,0.143954883,0.000442483,-1.065076605,1.565496099,0.082125502,-0.000223203,-1.309380046,2.024314436,0.213867999,0.001057448,-1.092091069,0.929141922,0.113469526,0.000177855,-2.543358459,2.801791748,0.237543639,-0.000261272,-1.362636935,1.430934712,0.129182312,-2.90E-05,-3.374513746,4.187228329,0.258714807,-0.000342457,-2.046647649,2.756299783,0.154374509,7.25E-05,-2.508842981,2.862017369,0.276988791,0.000101552,-1.691338333,2.145763796,0.167007233,-7.41E-05,-4.126739387,3.884312261,0.311287348,0.000677351,-3.739490111,2.597116014,0.200228576,7.92E-05,-0.791843149,0.858076356,0.081145226,-0.001324424,-0.278901954,0.3081034,0.026418242,5.00E-05,-0.628932902,0.469379715,0.090423649,-0.000653861,-0.177206029,0.367955813,0.026222694,1.96E-05,-0.919470578,0.897188728,0.090290888,-0.001306017,-0.280676392,0.41033923,0.031492848,3.15E-05
402,M,1,0.219583299,1,0.510373163,0.491103234,0.957081797,10.13317446,7.854728122,7.750263513,0,11.92273084,2.100070544,0.831729999,0.777242866,11.80164166,7.543594427,7.473241111,0.687597391,9.656174019,4.621613234,4.398115047,0.501311625,12.20964827,4.799156918,4.578017014,0,7.029576919,2.405923689,1.93944072,0,11.50855642,3.123521558,2.240977188,0.036247283,5.352985151,1.640074413,1.350271969,-1.194477228,1.285471867,0.10514082,-0.001104921,-0.98326737,0.536075061,0.060697854,-0.000229559,-1.815473028,1.791387338,0.191975699,0.000470295,-0.940989322,0.871568725,0.100850309,-1.39E-05,-2.543358459,2.801791748,0.293052285,-0.001437413,-1.362636935,1.430934712,0.149580476,-0.00029038,-2.345271972,2.844162955,0.228823112,0.000132521,-1.103270553,1.800575505,0.132659351,-6.60E-06,-1.878554548,1.26371326,0.26993942,0.000310717,-0.854689342,0.959404389,0.157337088,-0.00020461,-3.292613524,2.025798577,0.299893518,-0.000446717,-1.980436476,1.465635881,0.179724515,9.35E-05,-0.329712942,0.515572794,0.060191774,-0.000418698,-0.127230007,0.205778309,0.020259899,2.33E-06,-0.443671181,0.485381265,0.079405147,0.000193436,-0.151562852,0.283252442,0.022763036,3.29E-06,-0.343176597,0.482661639,0.059885952,-0.000592618,-0.139226796,0.195071791,0.023005225,5.93E-06
402,M,2,0.079712557,1,0.448877846,0.423043408,0.214923119,10.81234801,7.593556746,7.384200417,2.52E-05,11.52568316,1.641467593,0.570428959,0.777242866,10.70368311,7.448207139,7.384652927,0,11.53486918,4.563856913,4.266076732,0,12.20964827,5.017924651,4.750478432,0,12.67599539,3.583899144,2.851783893,0,11.50855642,3.672258187,2.894322985,0.036247283,11.96199741,2.954493459,2.081030224,-1.194477228,1.285471867,0.10612205,-0.000614189,-0.98326737,0.536754825,0.059909383,-0.000174349,-1.911687334,1.287757964,0.243752885,-0.000543604,-0.869857122,0.712711045,0.116970084,0.000138391,-2.075776784,2.752208027,0.219046786,-0.000121939,-1.34225783,0.987885767,0.113301853,-4.25E-05,-2.345271972,2.844162955,0.255038626,-0.000466802,-1.103270553,1.800575505,0.147244613,0.000126762,-1.878554548,1.797504717,0.314483652,-0.001032865,-1.248376842,0.97049444,0.183135354,-0.000120762,-3.292613524,2.025798577,0.34668611,0.000547495,-1.980436476,1.465635881,0.20541302,0.000119716,-0.537005199,0.809711927,0.098241804,0.000190941,-0.203294781,0.425956582,0.028170107,-3.08E-05,-0.933730851,1.35418262,0.122698691,-0.000136981,-0.410274326,0.840009569,0.041471297,-1.58E-05,-0.403428394,0.814509234,0.096112822,0.000306881,-0.212259179,0.497155524,0.030999415,-2.41E-05
404,H,0,0,1,0.499195081,0.480114669,0,12.20248993,8.759061514,8.319086187,4.73E-06,12.21395945,2.345905253,1.144969231,0,12.00656871,7.061857913,6.861273234,0.082027892,12.3039664,5.745977142,5.152194236,0.797639282,12.35894193,6.035464416,5.810638948,0,10.36730378,3.984437984,3.287093392,0,12.37247834,3.410662943,2.605689915,0,12.00751811,3.869803673,2.906233382,-0.818029036,0.802132272,0.168707167,-0.000197163,-0.557706907,0.391896412,0.090220544,-1.00E-05,-2.349512587,2.60338916,0.378289243,0.000512084,-1.06164906,1.167186446,0.17057536,-2.78E-06,-2.632650575,3.433862395,0.320079062,-0.000122373,-1.666222504,1.309540231,0.156313317,-7.27E-05,-2.028341128,1.599542469,0.372402344,-0.000340593,-0.92226054,0.94559164,0.214702846,-1.42E-05,-2.476011927,3.426903248,0.504208566,-0.000972396,-2.012027129,1.753442811,0.292066142,-0.000106316,-2.016269369,2.319073089,0.403114909,0.000325861,-1.468344792,1.099285451,0.243839553,0.000207498,-0.974712809,0.890477104,0.1619468,-0.000548794,-0.293240693,0.748452026,0.050794584,-1.44E-05,-1.027739912,1.124422091,0.171098071,-0.001347297,-0.225833574,1.068917623,0.056604461,6.26E-06,-1.284566629,1.209994121,0.187900427,0.000645723,-0.381817476,1.04159337,0.068384944,-3.26E-05
