participant,condition,window_index,head_rotation_rad_min,head_rotation_rad_max,head_rotation_rad_rms,head_rotation_rad_mean,blink_aperture_min,blink_aperture_max,blink_aperture_rms,blink_aperture_mean,mouth_aperture_min,mouth_aperture_max,mouth_aperture_rms,mouth_aperture_mean,pupil_dx_min,pupil_dx_max,pupil_dx_rms,pupil_dx_mean,pupil_dy_min,pupil_dy_max,pupil_dy_rms,pupil_dy_mean,pupil_metric_min,pupil_metric_max,pupil_metric_rms,pupil_metric_mean,center_face_magnitude_min,center_face_magnitude_max,center_face_magnitude_rms,center_face_magnitude_mean,center_face_x_min,center_face_x_max,center_face_x_rms,center_face_x_mean,center_face_y_min,center_face_y_max,center_face_y_rms,center_face_y_mean,head_rotation_rad_vel_min,head_rotation_rad_vel_max,head_rotation_rad_vel_rms,head_rotation_rad_vel_mean,head_rotation_rad_acc_min,head_rotation_rad_acc_max,head_rotation_rad_acc_rms,head_rotation_rad_acc_mean,blink_aperture_vel_min,blink_aperture_vel_max,blink_aperture_vel_rms,blink_aperture_vel_mean,blink_aperture_acc_min,blink_aperture_acc_max,blink_aperture_acc_rms,blink_aperture_acc_mean,mouth_aperture_vel_min,mouth_aperture_vel_max,mouth_aperture_vel_rms,mouth_aperture_vel_mean,mouth_aperture_acc_min,mouth_aperture_acc_max,mouth_aperture_acc_rms,mouth_aperture_acc_mean,pupil_dx_vel_min,pupil_dx_vel_max,pupil_dx_vel_rms,pupil_dx_vel_mean,pupil_dx_acc_min,pupil_dx_acc_max,pupil_dx_acc_rms,pupil_dx_acc_mean,pupil_dy_vel_min,pupil_dy_vel_max,pupil_dy_vel_rms,pupil_dy_vel_mean,pupil_dy_acc_min,pupil_dy_acc_max,pupil_dy_acc_rms,pupil_dy_acc_mean,pupil_metric_vel_min,pupil_metric_vel_max,pupil_metric_vel_rms,pupil_metric_vel_mean,pupil_metric_acc_min,pupil_metric_acc_max,pupil_metric_acc_rms,pupil_metric_acc_mean,center_face_magnitude_vel_min,center_face_magnitude_vel_max,center_face_magnitude_vel_rms,center_face_magnitude_vel_mean,center_face_magnitude_acc_min,center_face_magnitude_acc_max,center_face_magnitude_acc_rms,center_face_magnitude_acc_mean,center_face_x_vel_min,center_face_x_vel_max,center_face_x_vel_rms,center_face_x_vel_mean,center_face_x_acc_min,center_face_x_acc_max,center_face_x_acc_rms,center_face_x_acc_mean,center_face_y_vel_min,center_face_y_vel_max,center_face_y_vel_rms,center_face_y_vel_mean,center_face_y_acc_min,center_face_y_acc_max,center_face_y_acc_rms,center_face_y_acc_mean
402,H,0,0,1,0.509434979,0.473990361,0.318542516,8.283990014,5.983993187,5.787657841,0.000178362,9.505663148,1.227073307,0.580706562,4.796934437,10.47067631,7.331367225,7.292297741,2.627451841,11.42809299,8.095403088,8.039785051,0.337536873,8.618488825,2.511983083,2.414092031,0.000883547,10.04925095,3.896280401,3.154904717,0.022571394,10.04756644,3.616574329,2.712646188,0.130534919,10.40406656,3.628643534,2.830658948,-0.710990385,0.940563701,0.080096996,0.001078402,-0.642680793,0.375128989,0.041948657,-0.00011511,-1.596767271,1.277096494,0.194165621,0.00060766,-0.599313994,0.645826953,0.089956481,0.000122602,-1.49965942,1.48030397,0.165447982,2.13E-05,-0.878969293,0.630270959,0.080590914,-7.10E-07,-1.011214654,1.214139787,0.16451479,-0.000193999,-0.785189841,0.559808915,0.096058394,-1.28E-05,-2.115974905,2.428933853,0.192688587,-0.000327158,-1.016923011,1.57979276,0.111528092,-0.000108218,-2.695175352,2.193491072,0.179255079,0.000110828,-1.777541164,1.325769351,0.107278898,9.49E-05,-0.340870533,0.457218913,0.053481637,-0.002922171,-0.144504686,0.13236039,0.01436652,1.98E-05,-0.306936945,0.580433465,0.052947898,-0.003068268,-0.251795835,0.159080937,0.013609023,2.90E-05,-0.993273767,1.005955287,0.126998651,0.000266226,-0.264966426,0.649653945,0.044108118,-1.06E-05
402,H,1,0.192288823,1,0.498437002,0.46933802,0.318542516,8.382403022,6.144040747,5.978497102,2.88E-06,9.505663148,1.234643199,0.56932368,5.210964487,9.541246604,7.516716081,7.485100664,5.924397881,11.24904544,8.020305449,7.969840667,0.337536873,4.273573595,2.58839569,2.49956266,0.000883547,6.539699389,2.421907202,1.930548054,0.039948184,6.449563022,1.99695471,1.443518709,0.083147578,10.40406656,3.368625236,2.679634237,-0.487340946,0.584313437,0.07048804,-0.001232508,-0.355985112,0.270220655,0.036935054,-0.00013476,-1.596767271,1.277096494,0.17623666,0.000162667,-0.599313994,0.639607587,0.082881751,-2.87E-05,-1.49965942,1.48030397,0.16886987,3.80E-05,-0.878969293,0.630270959,0.081638965,4.54E-05,-0.747084085,0.627372168,0.152592917,0.000281997,-0.499447797,0.400902156,0.088161138,8.49E-05,-0.894450309,0.837955719,0.168221253,0.000169104,-0.484691209,0.440589351,0.095562646,-4.90E-05,-0.811616557,0.729934672,0.144424978,-4.23E-05,-0.411716256,0.403612973,0.084344282,0.000153182,-0.208843981,0.305180013,0.044302179,0.000393373,-0.088181112,0.112577343,0.012462076,4.65E-06,-0.140492603,0.212425683,0.039511515,0.00031568,-0.055610328,0.110968975,0.008830834,1.57E-06,-0.993273767,0.691984835,0.106652539,0.00063935,-0.29299452,0.315577515,0.037098655,5.19E-08
402,H,2,0.156269546,0.839409693,0.489821601,0.474076714,0.260129197,8.382403022,6.173857538,6.025129605,2.88E-06,7.323582317,1.204199716,0.550487087,5.627545617,10.55256128,7.554156421,7.524665122,6.007372042,11.55978183,7.994542125,7.944801316,0.409050517,4.273573595,2.610697493,2.516436075,0.110966949,5.406639943,2.086031714,1.815867196,0.06013792,5.410507924,1.692764063,1.351805728,0.083147578,7.778472428,3.037592345,2.618994432,-0.383597184,0.487896864,0.065209999,0.000337198,-0.272005688,0.19928992,0.033326425,-8.62E-05,-1.40911918,1.11510459,0.176052059,-0.00048848,-0.48249818,0.599944175,0.083441804,3.49E-05,-1.930192154,1.727628024,0.183986906,1.06E-05,-1.094029108,0.792922362,0.091908293,6.47E-06,-0.917679319,0.961487359,0.158525003,0.000395172,-0.583517976,0.425213873,0.092714389,-2.42E-05,-0.894450309,0.705095835,0.16721963,-0.000134333,-0.472820136,0.440589351,0.095570775,-0.00012668,-1.177923103,1.195259432,0.156720553,-0.000127564,-0.958657383,0.790612982,0.095325197,0.00019202,-0.208843981,0.266547282,0.040970774,0.000241694,-0.095435053,0.112577343,0.011863334,1.62E-05,-0.140492603,0.204889014,0.03740152,0.00046669,-0.043857142,0.110968975,0.007988089,-9.32E-08,-0.513343317,0.744153409,0.101143577,-0.000550248,-0.377394968,0.483683919,0.039359296,5.39E-05
402,H,3,0.065267191,0.999810811,0.53918207,0.517687135,0.260129197,9.081668546,6.049575588,5.890594589,5.46E-05,7.323582317,1.443691113,0.736717635,5.497649434,12.13805502,7.463649983,7.434326306,2.530391092,11.55978183,8.053245969,8.003447091,0.409050517,9.187176158,2.58871328,2.495723137,0.076675928,6.292999838,2.552328742,2.2273106,0.031384052,6.288432373,2.304446438,1.885923307,0.089100262,6.956907211,2.826681832,2.407260395,-0.623533999,0.630948738,0.079967793,0.002205753,-0.283756795,0.248444746,0.037139859,-7.08E-05,-1.330913778,1.192629587,0.196529153,-0.000156571,-0.485466811,0.570866573,0.096013502,0.00022586,-1.930192154,1.727628024,0.23737615,0.00102445,-1.094029108,0.792922362,0.120171231,4.06E-05,-1.87913889,1.461291273,0.184418911,-0.000264962,-1.247471185,0.873423436,0.111252292,2.58E-05,-1.885100742,2.649868831,0.198690531,-0.000305506,-1.174058579,1.700847433,0.11659908,-0.000130111,-3.215548315,2.120934823,0.196237032,7.12E-05,-2.092786164,1.723298881,0.122485323,0.00010238,-0.225681748,0.347570923,0.053264308,0.001349052,-0.095435053,0.091991185,0.013224036,6.27E-06,-0.162617762,0.333501425,0.049150262,0.001467146,-0.086618703,0.094268225,0.010029355,1.66E-06,-0.568224902,0.744153409,0.112420952,-0.000210269,-0.377394968,0.483683919,0.041297553,-7.45E-06
402,H,4,0.065267191,0.999810811,0.523411561,0.49942919,0.325259413,9.081668546,6.177894615,6.057998335,0,6.621523759,1.071412823,0.456001627,4.903962994,12.13805502,7.527206687,7.496173492,2.530391092,11.03483019,8.069448443,8.034375308,0.719380455,9.187176158,2.475008453,2.401324519,0.076675928,6.292999838,2.306418954,1.849286833,0.031384052,6.288432373,2.169288477,1.66040048,0,6.956907211,2.143185874,1.712677281,-0.623533999,0.630948738,0.075392865,0.001044904,-0.283756795,0.248444746,0.034684811,-7.32E-05,-1.330913778,1.192629587,0.175095229,-0.000180745,-0.485466811,0.570866573,0.086471212,1.81E-05,-1.701680776,1.545709532,0.181783082,0.000174513,-0.995294569,0.704704315,0.093406997,-2.25E-05,-1.87913889,1.461291273,0.171032092,-0.000502717,-1.247471185,0.873423436,0.103589785,6.48E-05,-1.885100742,2.649868831,0.18391731,0.000182759,-1.174058579,1.700847433,0.108029736,3.18E-05,-3.215548315,2.120934823,0.17868403,5.14E-05,-2.092786164,1.723298881,0.109496429,-6.94E-07,-0.247959151,0.347570923,0.058560651,0.000339498,-0.086196068,0.092980376,0.013489968,3.14E-05,-0.250679268,0.333501425,0.054146446,0.000296376,-0.086618703,0.115821375,0.011128159,2.10E-05,-0.568224902,0.696035579,0.102979363,0.000443994,-0.210747651,0.204141293,0.036463005,1.24E-05
402,H,5,0.163989479,0.925814386,0.497005436,0.475628191,0.959789528,7.960895893,6.30639637,6.241393074,0,9.200610519,1.091046041,0.377084797,4.903962994,9.74497206,7.647872191,7.617657361,5.932464539,11.06579636,8.001318992,7.973256104,0.762402105,4.456391542,2.436083446,2.368820074,0.128612185,6.170789202,1.790765537,1.442416045,0.055828944,6.201172194,1.663982432,1.297582361,0,6.911633949,1.843274617,1.418467151,-0.284266857,0.548529521,0.061160184,-0.001617315,-0.251151,0.223277468,0.029068042,-2.55E-05,-0.962563172,1.185233753,0.129872451,-0.000164654,-0.478557463,0.400425739,0.067557844,-8.38E-05,-1.499369983,1.915340933,0.167712147,-0.000886654,-0.892213615,0.776609629,0.075118332,-9.00E-05,-0.679126203,0.787838388,0.153162451,9.00E-05,-0.417929188,0.418451367,0.090405343,-2.43E-05,-1.099618005,0.73080249,0.151609895,0.000278388,-0.420360166,0.457892189,0.08578727,-7.73E-05,-0.960955209,0.682107224,0.148561875,-0.000260093,-0.511012996,0.62005352,0.08799745,0.000125521,-0.288129812,0.418564172,0.053376128,-0.001403131,-0.075559533,0.199494217,0.012945755,-4.81E-06,-0.250679268,0.285150261,0.049978673,-0.001499569,-0.051452676,0.115821375,0.010430359,-1.18E-05,-0.666534758,0.729170772,0.083253069,0.000130838,-0.268133794,0.443635214,0.033985526,3.67E-05
402,H,6,0.163989479,0.970949772,0.518006851,0.490602291,0.391850529,8.609506524,6.003295726,5.873242444,8.09E-06,9.200610519,1.272368426,0.52225442,0.701628988,9.810902957,7.570988499,7.543209643,5.932464539,11.06579636,8.032276902,7.994008308,0.677492417,6.489764635,2.455100804,2.374234958,0.067873688,6.834607628,2.169614233,1.80619784,0.047998243,5.439914401,1.86397554,1.431211259,0.052769704,10.34000669,2.805307513,2.15166955,-0.825348877,0.852055593,0.071549906,-0.0012257,-0.641991944,0.351048142,0.036729934,-8.25E-05,-1.517044514,1.365898015,0.168800451,0.000421475,-0.520992545,0.621363905,0.081238198,8.42E-05,-1.739415005,1.915340933,0.195171227,-0.000155664,-0.892213615,0.776609629,0.090436545,1.68E-05,-2.252919775,2.681376093,0.187769631,9.46E-06,-1.080287886,1.757203834,0.111706138,0.000148701,-1.099618005,0.73080249,0.170138558,9.76E-06,-0.499195311,0.457892189,0.098014408,6.02E-05,-1.500916949,1.614004004,0.172336721,-5.76E-05,-1.106726985,0.657441697,0.10297857,3.78E-05,-0.288129812,0.448505499,0.058731828,-0.000118723,-0.116090161,0.199494217,0.015367123,-2.35E-05,-0.20844972,0.285150261,0.049195451,-0.000532426,-0.049338141,0.083369141,0.01002815,-2.19E-05,-0.666534758,1.057752529,0.107293691,0.000768769,-0.305811647,0.443635214,0.039123338,1.32E-05
402,H,7,0.061037248,0.970949772,0.449159597,0.417200104,0.391850529,13.16577198,5.886882945,5.712356462,8.54E-06,7.020659883,0.710262177,0.313083928,0.701628988,10.27152908,7.373996042,7.343652393,0,11.33933566,8.118113349,8.070959044,0.24288188,11.99628955,2.391555223,2.278342844,0.067873688,8.685403865,3.50782892,2.726435252,0.026455641,8.712043408,3.213815003,2.08102995,0.064283438,10.34000669,3.501261826,2.931107981,-1.875136757,1.73761382,0.094489485,-0.000107779,-1.210627265,0.668666315,0.052689293,-0.000244644,-3.035074244,1.682560789,0.208262322,-0.000488772,-1.533034346,1.126407043,0.099452928,-0.000256063,-1.739415005,1.206592593,0.116660944,-8.05E-05,-0.89051866,0.631924637,0.062863386,3.61E-06,-2.252919775,2.681376093,0.188762884,-0.00047231,-1.080287886,1.757203834,0.112971483,7.85E-06,-2.76768759,3.42452783,0.214703387,0.000110411,-1.478027797,2.142369993,0.126781677,0.000210801,-3.294269409,2.946384938,0.219291092,3.09E-05,-2.215919819,1.357330696,0.132350287,-0.000242696,-0.266247871,0.448505499,0.059199437,0.001273898,-0.128720196,0.122137726,0.017624059,-2.43E-05,-0.277536474,0.275536471,0.045009191,0.001358415,-0.131150458,0.100117264,0.010241913,-4.62E-05,-0.579597264,1.057752529,0.117788466,0.000147388,-0.305811647,0.263595946,0.042783059,0.000190162
402,H,8,0.061037248,0.903288702,0.389104784,0.359136329,0,13.16577198,5.743219219,5.562221711,0.000323854,2.063007679,0.358142025,0.274997156,5.284457138,10.27152908,7.158686024,7.12598358,0,11.33933566,8.13564337,8.088323358,0,11.99628955,2.193829916,2.060312034,0.082839579,8.685403865,4.92441993,4.40454636,0.026455641,8.712043408,4.652916037,3.878607647,0.244426432,12.22566707,4.055544934,3.359264221,-1.875136757,1.73761382,0.087560289,0.001154783,-1.210627265,0.668666315,0.047985503,-0.000158918,-3.035074244,1.682560789,0.198227661,-0.000155081,-1.533034346,1.126407043,0.093439567,-4.18E-05,-0.490213501,0.651863975,0.071896494,4.81E-05,-0.399653847,0.256108103,0.045037696,-4.09E-05,-1.159017031,1.134120005,0.155320192,-0.000185142,-0.784244432,0.692111796,0.091597463,1.03E-05,-2.76768759,3.42452783,0.211262494,3.84E-05,-1.478027797,2.142369993,0.12403323,6.62E-05,-3.294269409,2.946384938,0.207055357,-9.57E-05,-2.215919819,1.357330696,0.125869869,-6.86E-05,-0.248014937,0.355139684,0.04618174,0.00030512,-0.128720196,0.122137726,0.01417926,2.53E-05,-0.277536474,0.275536471,0.040614484,0.000510052,-0.131150458,0.100117264,0.00941443,1.40E-05,-0.532439324,0.773414373,0.097390279,0.000413342,-0.213835442,0.263595946,0.037099955,5.07E-05
402,H,9,0.082946424,0.887755877,0.498852739,0.46194524,0,7.881575289,5.698468694,5.48954503,1.95E-06,7.336295623,0.832738201,0.43949442,5.421295415,9.787782016,7.39815548,7.362929473,5.854762478,11.84357486,8.271035009,8.213305417,0,4.827188183,2.239872104,2.119405809,0.047665681,7.834374197,4.150368592,3.617134758,0.013097236,7.732914811,3.866735043,3.241778639,0.013854877,12.22566707,3.790641568,3.038059465,-0.487706463,0.473645222,0.065869775,-0.000440883,-0.270156991,0.189230914,0.03325865,-5.10E-05,-1.244313165,1.1766265,0.189116159,0.000639961,-0.425963445,0.512662881,0.081886979,0.000220412,-1.576247191,1.772512084,0.14960755,0.000128113,-0.875764963,0.706813928,0.07655708,-2.07E-05,-0.776451246,1.134120005,0.143172344,0.000216893,-0.624884012,0.518321766,0.082722841,0.000127734,-1.082342074,0.98889051,0.177897398,7.02E-05,-0.647771698,0.546729458,0.101754413,-3.20E-05,-0.858140602,0.731064602,0.151912592,-6.93E-05,-0.463334645,0.481654006,0.091146575,0.000186264,-0.199440883,0.310625051,0.044995158,-0.00114291,-0.06173655,0.070787479,0.011045866,6.25E-05,-0.246670572,0.244080584,0.042620661,-0.001405785,-0.046324823,0.092392127,0.008696859,6.74E-05,-0.401474113,0.680027523,0.096691839,0.000473624,-0.197792225,0.182393925,0.033276736,-9.74E-05
