participant,condition,window_index,head_rotation_rad_min,head_rotation_rad_max,head_rotation_rad_rms,head_rotation_rad_mean,blink_aperture_min,blink_aperture_max,blink_aperture_rms,blink_aperture_mean,mouth_aperture_min,mouth_aperture_max,mouth_aperture_rms,mouth_aperture_mean,pupil_dx_min,pupil_dx_max,pupil_dx_rms,pupil_dx_mean,pupil_dy_min,pupil_dy_max,pupil_dy_rms,pupil_dy_mean,pupil_metric_min,pupil_metric_max,pupil_metric_rms,pupil_metric_mean,center_face_magnitude_min,center_face_magnitude_max,center_face_magnitude_rms,center_face_magnitude_mean,center_face_x_min,center_face_x_max,center_face_x_rms,center_face_x_mean,center_face_y_min,center_face_y_max,center_face_y_rms,center_face_y_mean,head_rotation_rad_vel_min,head_rotation_rad_vel_max,head_rotation_rad_vel_rms,head_rotation_rad_vel_mean,head_rotation_rad_acc_min,head_rotation_rad_acc_max,head_rotation_rad_acc_rms,head_rotation_rad_acc_mean,blink_aperture_vel_min,blink_aperture_vel_max,blink_aperture_vel_rms,blink_aperture_vel_mean,blink_aperture_acc_min,blink_aperture_acc_max,blink_aperture_acc_rms,blink_aperture_acc_mean,mouth_aperture_vel_min,mouth_aperture_vel_max,mouth_aperture_vel_rms,mouth_aperture_vel_mean,mouth_aperture_acc_min,mouth_aperture_acc_max,mouth_aperture_acc_rms,mouth_aperture_acc_mean,pupil_dx_vel_min,pupil_dx_vel_max,pupil_dx_vel_rms,pupil_dx_vel_mean,pupil_dx_acc_min,pupil_dx_acc_max,pupil_dx_acc_rms,pupil_dx_acc_mean,pupil_dy_vel_min,pupil_dy_vel_max,pupil_dy_vel_rms,pupil_dy_vel_mean,pupil_dy_acc_min,pupil_dy_acc_max,pupil_dy_acc_rms,pupil_dy_acc_mean,pupil_metric_vel_min,pupil_metric_vel_max,pupil_metric_vel_rms,pupil_metric_vel_mean,pupil_metric_acc_min,pupil_metric_acc_max,pupil_metric_acc_rms,pupil_metric_acc_mean,center_face_magnitude_vel_min,center_face_magnitude_vel_max,center_face_magnitude_vel_rms,center_face_magnitude_vel_mean,center_face_magnitude_acc_min,center_face_magnitude_acc_max,center_face_magnitude_acc_rms,center_face_magnitude_acc_mean,center_face_x_vel_min,center_face_x_vel_max,center_face_x_vel_rms,center_face_x_vel_mean,center_face_x_acc_min,center_face_x_acc_max,center_face_x_acc_rms,center_face_x_acc_mean,center_face_y_vel_min,center_face_y_vel_max,center_face_y_vel_rms,center_face_y_vel_mean,center_face_y_acc_min,center_face_y_acc_max,center_face_y_acc_rms,center_face_y_acc_mean
402,H,0,-0.679235914,0.453137181,0.254956922,-0.142501981,0.046080565,0.238223788,0.181243091,0.177501013,6.22E-06,0.329138247,0.04248803,0.020107291,-0.01926278,0.023323126,0.006252443,-0.002336946,-0.096141914,0.016991732,0.024702095,-0.022025373,0.023178286,0.115973074,0.04651893,0.045888842,0.01200569,0.916199286,0.360911845,0.296384743,0.005965849,0.913160328,0.330358428,0.249490781,0.009417654,0.411341246,0.14532952,0.115038835,-0.805106382,1.065069028,0.090699684,0.001221153,-0.727754439,0.424785975,0.047501531,-0.000130347,-0.0388278,0.031054524,0.004721429,1.48E-05,-0.014573222,0.015704255,0.002187427,2.98E-06,-0.051926436,0.051256244,0.005728717,7.37E-07,-0.030434739,0.021823438,0.0027905,-2.46E-08,-0.008327574,0.009998707,0.001354815,-1.60E-06,-0.00646621,0.004610149,0.000791062,-1.05E-07,-0.028831176,0.033095393,0.002625475,-4.46E-06,-0.013856065,0.021525437,0.001519624,-1.47E-06,-0.030451403,0.02478313,0.002025311,1.25E-06,-0.020083525,0.014979187,0.001212089,1.07E-06,-0.030728188,0.041216554,0.004821167,-0.000263423,-0.01302655,0.011931788,0.001295087,1.78E-06,-0.027794737,0.05256127,0.004794708,-0.000277848,-0.022801423,0.014405606,0.001232368,2.62E-06,-0.0388466,0.03934257,0.004966874,1.04E-05,-0.010362747,0.025407746,0.001725054,-4.16E-07
402,H,1,-0.461493224,0.453137181,0.240720455,-0.147770167,0.046080565,0.239432427,0.185482141,0.182339281,1.43E-07,0.329138247,0.042750141,0.019713153,-0.018968424,0.01599762,0.005782064,-0.001084709,-0.050843181,0.01547552,0.026015577,-0.02368599,0.023178286,0.066239638,0.047528575,0.046954633,0.01200569,0.601424532,0.22809282,0.186078066,0.0074461,0.587860229,0.183669092,0.134585373,0.007531683,0.411341246,0.135247918,0.109155611,-0.551851775,0.661660815,0.07981876,-0.001395659,-0.403107963,0.305990599,0.041824261,-0.000152599,-0.0388278,0.031054524,0.00428546,3.96E-06,-0.014573222,0.015553021,0.002015395,-6.99E-07,-0.051926436,0.051256244,0.005847201,1.31E-06,-0.030434739,0.021823438,0.002826789,1.57E-06,-0.006152401,0.005166547,0.001256636,2.32E-06,-0.004113062,0.003301517,0.000726026,6.99E-07,-0.012187316,0.01141755,0.002292096,2.30E-06,-0.006604151,0.006003242,0.001302087,-6.68E-07,-0.009170039,0.008247157,0.001631784,-4.78E-07,-0.004651771,0.004560216,0.000952963,1.73E-06,-0.018826494,0.027510823,0.003993674,3.55E-05,-0.007949193,0.010148421,0.001123409,4.19E-07,-0.012722336,0.019236251,0.003577973,2.86E-05,-0.005035804,0.010048818,0.000799678,1.42E-07,-0.0388466,0.027063292,0.004171145,2.50E-05,-0.011458916,0.01234213,0.001450916,2.03E-09
402,H,2,-0.502280485,0.271289038,0.199347109,-0.142404198,0.045080141,0.239432427,0.186693457,0.18384935,1.43E-07,0.253582639,0.04169602,0.019060928,-0.018704744,0.017943438,0.005832213,-0.001397175,-0.050086557,0.013964113,0.027598019,-0.025373205,0.024131925,0.066461271,0.04796265,0.047335701,0.021730784,0.499946486,0.198773131,0.175862603,0.009246817,0.493981217,0.156446476,0.126319637,0.007531683,0.308844416,0.122618342,0.106828335,-0.434375131,0.552481282,0.073842048,0.000381834,-0.308011922,0.225670543,0.037737947,-9.76E-05,-0.034264854,0.027115447,0.004280971,-1.19E-05,-0.01173267,0.014588546,0.002029013,8.50E-07,-0.066833841,0.059819959,0.006370636,3.67E-07,-0.037881289,0.027455322,0.003182369,2.24E-07,-0.00755729,0.007918059,0.001305488,3.25E-06,-0.004805398,0.003501729,0.000763523,-1.99E-07,-0.012187316,0.00960727,0.002278448,-1.83E-06,-0.006442402,0.006003242,0.001302198,-1.73E-06,-0.013308749,0.013504623,0.001770705,-1.44E-06,-0.010831378,0.00893273,0.00107703,2.17E-06,-0.018826494,0.024028228,0.00369336,2.18E-05,-0.008603109,0.010148421,0.001069435,1.46E-06,-0.012722336,0.018553766,0.003386902,4.23E-05,-0.003971492,0.010048818,0.000723363,-8.44E-09,-0.020076683,0.029103588,0.003955691,-2.15E-05,-0.014759789,0.018916714,0.001539329,2.11E-06
402,H,3,-0.605329102,0.452922948,0.194377528,-0.09302093,0.045080141,0.258817449,0.183546645,0.180487688,1.93E-06,0.253582639,0.049988529,0.025509251,-0.018075071,0.035502657,0.005881065,-0.001987998,-0.101450933,0.017621983,0.026671329,-0.024251188,0.024131925,0.123030883,0.047684149,0.04705599,0.019535364,0.579220931,0.240754698,0.212923258,0.006894418,0.573280384,0.211883587,0.174677321,0.00797148,0.276456944,0.114316097,0.098536854,-0.706073124,0.714469375,0.090553378,0.002497735,-0.32131856,0.281332146,0.042056177,-8.02E-05,-0.032363172,0.029000584,0.004778902,-3.81E-06,-0.011804856,0.01388148,0.002334713,5.49E-06,-0.066833841,0.059819959,0.008219265,3.55E-05,-0.037881289,0.027455322,0.004160987,1.40E-06,-0.015475121,0.012034054,0.00151873,-2.18E-06,-0.010273199,0.007192834,0.000916187,2.13E-07,-0.025685405,0.036105738,0.002707254,-4.16E-06,-0.015997113,0.023174865,0.001588719,-1.77E-06,-0.03633083,0.023963354,0.002217182,8.04E-07,-0.023645317,0.01947067,0.001383899,1.16E-06,-0.020344355,0.031332203,0.004801576,0.000121612,-0.008603109,0.008292657,0.001192097,5.65E-07,-0.014725884,0.030200289,0.004450812,0.000132858,-0.007843774,0.008536478,0.00090821,1.51E-07,-0.022223083,0.029103588,0.004396745,-8.22E-06,-0.014759789,0.018916714,0.001615133,-2.91E-07
402,H,4,-0.605329102,0.452922948,0.210667898,-0.113695737,0.047249328,0.258817449,0.186584895,0.18426518,4.45E-08,0.229273521,0.037098208,0.015789322,-0.022055798,0.035502657,0.005693886,-0.000981144,-0.101450933,0.017621983,0.024551755,-0.022780572,0.027407719,0.123030883,0.046330538,0.045840998,0.019535364,0.579220931,0.217715527,0.178750297,0.006894418,0.573280384,0.199422816,0.154224382,0.004392611,0.276456944,0.087353255,0.071337393,-0.706073124,0.714469375,0.085372852,0.001183221,-0.32131856,0.281332146,0.039276146,-8.29E-05,-0.032363172,0.029000584,0.004257704,-4.40E-06,-0.011804856,0.01388148,0.002102678,4.39E-07,-0.058921523,0.053520943,0.006294327,6.04E-06,-0.034462558,0.024400729,0.003234263,-7.79E-07,-0.015475121,0.012034054,0.001408487,-4.14E-06,-0.010273199,0.007192834,0.000853085,5.33E-07,-0.025685405,0.036105738,0.002505962,2.49E-06,-0.015997113,0.023174865,0.001471957,4.34E-07,-0.03633083,0.023963354,0.002018859,5.81E-07,-0.023645317,0.01947067,0.001237144,-7.84E-09,-0.022352578,0.031332203,0.005279021,3.06E-05,-0.007770249,0.008381829,0.00121607,2.83E-06,-0.022700312,0.030200289,0.004903242,2.68E-05,-0.007843774,0.010488228,0.001007713,1.91E-06,-0.022223083,0.027221716,0.004027488,1.74E-05,-0.008242269,0.007983897,0.001426056,4.84E-07
402,H,5,-0.49353864,0.369131388,0.215506151,-0.140647348,0.060256791,0.230365137,0.189750951,0.188470131,4.45E-08,0.318575652,0.037778014,0.013056788,-0.022055798,0.020288362,0.005685186,0.000451303,-0.046747919,0.020393775,0.024256414,-0.022702334,0.026532898,0.071371422,0.045792055,0.045344867,0.023526131,0.567702006,0.171237509,0.141989471,0.0090638,0.565217334,0.153703443,0.12134268,0.004392611,0.274599326,0.075482024,0.059800934,-0.321896141,0.621140071,0.069256147,-0.001831404,-0.284396636,0.252833397,0.032915869,-2.89E-05,-0.023406173,0.028820743,0.003158044,-4.00E-06,-0.011636845,0.009736955,0.001642771,-2.04E-06,-0.051916414,0.06631961,0.005807115,-3.07E-05,-0.03089333,0.026890486,0.002601009,-3.12E-06,-0.005592753,0.006488022,0.001261326,7.41E-07,-0.003441739,0.003446039,0.000744508,-2.00E-07,-0.014982824,0.009957536,0.002065758,3.79E-06,-0.00572761,0.006239001,0.001168893,-1.05E-06,-0.01085734,0.007706779,0.001678524,-2.94E-06,-0.005773674,0.007005666,0.000994238,1.42E-06,-0.025973811,0.037731975,0.004811656,-0.000126487,-0.006811406,0.017983648,0.001167011,-4.34E-07,-0.022700312,0.025821839,0.004525829,-0.000135794,-0.004659307,0.010488228,0.000944523,-1.06E-06,-0.026067949,0.028517622,0.003255999,5.12E-06,-0.010486622,0.017350423,0.001329162,1.43E-06
402,H,6,-0.49353864,0.420241484,0.225259899,-0.123691079,0.047302776,0.24529655,0.181777334,0.179282246,3.24E-07,0.318575652,0.044056393,0.018083357,-0.058829907,0.020288362,0.005588767,0.000238272,-0.046608468,0.020393775,0.023539692,-0.021575911,0.026532898,0.092522244,0.04582012,0.045286695,0.017955457,0.628556902,0.20562701,0.174706191,0.008127822,0.496334265,0.171753115,0.133418807,0.00645537,0.408912021,0.113063411,0.088448449,-0.934602862,0.964844829,0.081021188,-0.00138795,-0.726974404,0.397517471,0.041591989,-9.34E-05,-0.036889221,0.033213866,0.004104637,1.02E-05,-0.012668718,0.015109399,0.001975429,2.05E-06,-0.060228089,0.06631961,0.006757899,-5.39E-06,-0.03089333,0.026890486,0.003131409,5.80E-07,-0.018553288,0.02208172,0.001546324,7.79E-08,-0.008896408,0.014470959,0.000919925,1.22E-06,-0.014982824,0.009957536,0.00231822,1.33E-07,-0.006801776,0.006239001,0.001335493,8.21E-07,-0.01695809,0.018235803,0.001947144,-6.51E-07,-0.01250434,0.007428096,0.001163502,4.27E-07,-0.025973811,0.040431072,0.005294452,-1.07E-05,-0.010465088,0.017983648,0.001385288,-2.12E-06,-0.018876207,0.025821839,0.004454904,-4.82E-05,-0.004467825,0.007549509,0.000908101,-1.99E-06,-0.026067949,0.041368343,0.00419622,3.01E-05,-0.01196019,0.017350423,0.001530101,5.16E-07
402,H,7,-0.610118976,0.420241484,0.279775377,-0.206809741,0.047302776,0.361344555,0.178536236,0.175221422,3.40E-07,0.243093802,0.024593192,0.010840727,-0.058829907,0.02066322,0.005457424,-0.001152886,-0.13434116,0.0203336,0.022654857,-0.019995488,0.021990174,0.154545022,0.044882085,0.044128007,0.017955457,0.793855297,0.32537805,0.257613667,0.006527604,0.792419736,0.293446173,0.192247718,0.006777208,0.408912021,0.140571046,0.118914505,-2.123354412,1.967627138,0.106997351,-0.000122046,-1.370881742,0.757179744,0.059663938,-0.000277029,-0.073802399,0.040913998,0.005064212,-1.19E-05,-0.037278038,0.027390283,0.002418348,-6.23E-06,-0.060228089,0.041778855,0.004039442,-2.79E-06,-0.030834641,0.021880697,0.002176675,1.25E-07,-0.018553288,0.02208172,0.001554504,-3.89E-06,-0.008896408,0.014470959,0.000930345,6.47E-08,-0.037711075,0.04666084,0.002925437,1.50E-06,-0.02013884,0.029190822,0.001727461,2.87E-06,-0.037220259,0.033289691,0.002477657,3.49E-07,-0.025036541,0.015335783,0.001495358,-2.74E-06,-0.024001237,0.040431072,0.005336605,0.000114837,-0.011603638,0.011010253,0.001588742,-2.19E-06,-0.025132372,0.024951261,0.004075816,0.000123012,-0.011876356,0.009066139,0.000927459,-4.18E-06,-0.022667853,0.041368343,0.004606667,5.76E-06,-0.01196019,0.010309148,0.001673231,7.44E-06
402,H,8,-0.610118976,0.343623909,0.321001334,-0.272559598,0.03699001,0.361344555,0.174938335,0.171473702,1.13E-05,0.071432688,0.012400875,0.009521954,-0.023115325,0.021330535,0.00574751,-0.002780884,-0.13434116,0.0203336,0.022396872,-0.019411878,0.019446765,0.154545022,0.04247671,0.041615497,0.019617625,0.793855297,0.454394201,0.408857427,0.006527604,0.792419736,0.424459704,0.355017585,0.013988254,0.482662416,0.162197564,0.135648123,-2.123354412,1.967627138,0.099150915,0.001307645,-1.370881742,0.757179744,0.054337492,-0.000179954,-0.073802399,0.040913998,0.004820204,-3.77E-06,-0.037278038,0.027390283,0.002272124,-1.02E-06,-0.016973881,0.022571107,0.002489451,1.66E-06,-0.013838209,0.008867867,0.001559452,-1.42E-06,-0.009544759,0.009339727,0.001279096,-1.52E-06,-0.006458425,0.005699692,0.000754325,8.48E-08,-0.037711075,0.04666084,0.002878553,5.24E-07,-0.02013884,0.029190822,0.001690012,9.02E-07,-0.037220259,0.033289691,0.002339412,-1.08E-06,-0.025036541,0.015335783,0.001422139,-7.75E-07,-0.022357607,0.032014498,0.004163109,2.75E-05,-0.011603638,0.011010253,0.001278207,2.28E-06,-0.025132372,0.024951261,0.003677853,4.62E-05,-0.011876356,0.009066139,0.000852526,1.27E-06,-0.020823522,0.030247974,0.003808901,1.62E-05,-0.008363032,0.010309148,0.001450967,1.98E-06
402,H,9,-0.585309614,0.326034956,0.26429202,-0.156141553,0.03699001,0.23060652,0.174355974,0.170384101,1.12E-07,0.254022848,0.028833988,0.015217752,-0.016582469,0.021330535,0.005673467,-0.001979536,-0.053235437,0.021954862,0.023371081,-0.020133997,0.019446765,0.073356621,0.043406658,0.042626238,0.016194652,0.716863065,0.384564951,0.3380961,0.004996223,0.703686614,0.35335671,0.297420303,0.004840642,0.482662416,0.151753869,0.123165772,-0.552265677,0.536343106,0.074589161,-0.000499244,-0.305918508,0.214279996,0.0376612,-5.78E-05,-0.030257348,0.028611445,0.004598644,1.56E-05,-0.010357942,0.01246617,0.001991205,5.36E-06,-0.054578325,0.061374092,0.005180234,4.44E-06,-0.030323787,0.024473776,0.002650826,-7.17E-07,-0.006394246,0.009339727,0.001179056,1.79E-06,-0.005146057,0.004268493,0.000681241,1.05E-06,-0.014747432,0.013474109,0.002423938,9.56E-07,-0.008826201,0.007449452,0.001386453,-4.35E-07,-0.00969569,0.008259924,0.001716382,-7.83E-07,-0.00523498,0.005441961,0.001029818,2.10E-06,-0.01797884,0.028001672,0.004056143,-0.000103029,-0.005565316,0.006381223,0.000995743,5.63E-06,-0.022337304,0.022102767,0.003859523,-0.000127301,-0.004194954,0.008366588,0.000787546,6.10E-06,-0.015701517,0.026595646,0.003781585,1.85E-05,-0.007735587,0.007133365,0.001301442,-3.81E-06
402,H,10,-0.583778606,0.326034956,0.194978782,-0.05349872,0.04118474,0.23060652,0.175414081,0.171709257,6.44E-08,0.282098973,0.040963299,0.019829233,-0.019157572,0.015454234,0.005560253,-0.001389339,-0.053235437,0.021954862,0.024330552,-0.020580921,0.022460601,0.073356621,0.045851389,0.045165861,0.016194652,0.580693664,0.287793283,0.252832304,0.004996223,0.563946865,0.248476388,0.204610637,0.004840642,0.397180823,0.145204885,0.113855451,-0.552265677,0.523738302,0.080585992,-0.000993831,-0.277973087,0.209405366,0.039295826,-0.000101062,-0.032444864,0.027637412,0.004686225,9.54E-06,-0.012133129,0.012258166,0.002094032,6.74E-07,-0.054578325,0.061374092,0.006600476,-4.67E-08,-0.030323787,0.024473776,0.003276475,-2.82E-06,-0.005843706,0.005059451,0.001239008,-1.15E-06,-0.003252116,0.003219781,0.000722206,8.54E-07,-0.014747432,0.013474109,0.002508115,7.49E-07,-0.008826201,0.007449452,0.001409261,1.10E-06,-0.012047788,0.008259924,0.001739729,9.12E-07,-0.004955949,0.005989426,0.00101047,1.21E-06,-0.0240899,0.036547115,0.004763364,-6.44E-05,-0.007759018,0.013761583,0.001196489,1.72E-06,-0.026128437,0.026252109,0.004458929,-5.45E-05,-0.004552925,0.016988964,0.000953875,-6.15E-08,-0.016667706,0.037864489,0.004422128,-3.70E-05,-0.009284055,0.01376262,0.001550239,2.94E-06
