participant,condition,window_index,head_rotation_rad_min,head_rotation_rad_max,head_rotation_rad_rms,blink_aperture_min,blink_aperture_max,blink_aperture_rms,mouth_aperture_min,mouth_aperture_max,mouth_aperture_rms,pupil_dx_min,pupil_dx_max,pupil_dx_rms,pupil_dy_min,pupil_dy_max,pupil_dy_rms,pupil_metric_min,pupil_metric_max,pupil_metric_rms,center_face_magnitude_min,center_face_magnitude_max,center_face_magnitude_rms,center_face_x_min,center_face_x_max,center_face_x_rms,center_face_y_min,center_face_y_max,center_face_y_rms,head_rotation_rad_vel_min,head_rotation_rad_vel_max,head_rotation_rad_vel_rms,head_rotation_rad_acc_min,head_rotation_rad_acc_max,head_rotation_rad_acc_rms,blink_aperture_vel_min,blink_aperture_vel_max,blink_aperture_vel_rms,blink_aperture_acc_min,blink_aperture_acc_max,blink_aperture_acc_rms,mouth_aperture_vel_min,mouth_aperture_vel_max,mouth_aperture_vel_rms,mouth_aperture_acc_min,mouth_aperture_acc_max,mouth_aperture_acc_rms,pupil_dx_vel_min,pupil_dx_vel_max,pupil_dx_vel_rms,pupil_dx_acc_min,pupil_dx_acc_max,pupil_dx_acc_rms,pupil_dy_vel_min,pupil_dy_vel_max,pupil_dy_vel_rms,pupil_dy_acc_min,pupil_dy_acc_max,pupil_dy_acc_rms,pupil_metric_vel_min,pupil_metric_vel_max,pupil_metric_vel_rms,pupil_metric_acc_min,pupil_metric_acc_max,pupil_metric_acc_rms,center_face_magnitude_vel_min,center_face_magnitude_vel_max,center_face_magnitude_vel_rms,center_face_magnitude_acc_min,center_face_magnitude_acc_max,center_face_magnitude_acc_rms,center_face_x_vel_min,center_face_x_vel_max,center_face_x_vel_rms,center_face_x_acc_min,center_face_x_acc_max,center_face_x_acc_rms,center_face_y_vel_min,center_face_y_vel_max,center_face_y_vel_rms,center_face_y_acc_min,center_face_y_acc_max,center_face_y_acc_rms
402,H,0,-2.979771713,3.195992781,1.154214752,-48.06522509,20.4231737,13.26043945,-6.24156754,107.3604118,12.89553967,-37.77371859,51.26694946,12.41966402,-76.76048491,41.76009511,11.82374089,-34.35315291,100.6858997,11.77907365,-14.61060693,48.80950847,14.90948863,-12.17196234,49.36154042,14.95521973,-14.6229419,48.15069268,14.00038252,-4.390909174,5.808699906,0.494660186,-3.969045224,2.316708293,0.259065028,-13.3185469,10.65219075,1.619524633,-4.998844658,5.386806657,0.750322003,-17.85590887,17.62545044,1.96993001,-10.46557331,7.504411102,0.959567211,-17.45648795,20.95956233,2.840000824,-13.55464633,9.663920066,1.658245542,-30.02307456,34.4635761,2.734013433,-14.42888349,22.41531113,1.582446088,-43.43746123,35.35194226,2.88900888,-28.64818251,21.36709018,1.728986943,-2.083199535,2.794252169,0.3268482,-0.883127359,0.808908588,0.087799693,-1.819624247,3.44100254,0.313892742,-1.492729418,0.94308468,0.080678813,-6.056746588,6.134075469,0.774407488,-1.615702084,3.961434848,0.268960785
402,H,1,-1.792241225,3.195992781,1.039554851,-48.06522509,22.8111856,12.53372208,-6.279511753,107.3604118,13.0608471,-37.42440651,35.89861211,11.8940184,-29.19733198,40.34241026,11.4596326,-34.35315291,31.98023061,11.53872717,-14.61060693,25.38833571,9.329118822,-11.95424542,26.43067343,8.782609869,-14.6229419,48.15069268,12.46291744,-3.009702912,3.608582177,0.435317537,-2.198480217,1.668819126,0.228102192,-13.3185469,10.65219075,1.469980166,-4.998844658,5.334931266,0.691312069,-17.85590887,17.62545044,2.010673208,-10.46557331,7.504411102,0.972045985,-12.89683083,10.83025712,2.634194831,-8.621912677,6.920730067,1.521916088,-12.69114689,11.88955831,2.386852135,-6.877170548,6.251419569,1.355916097,-13.0806193,11.76417297,2.327660938,-6.635527037,6.504928464,1.359355508,-1.276331165,1.865080139,0.27074877,-0.538910917,0.688006283,0.076160851,-0.832886855,1.259330066,0.234237398,-0.329676511,0.657860972,0.052352117,-6.056746588,4.219558517,0.650341754,-1.786610717,1.924316435,0.226218749
402,H,2,-2.014687801,2.204224868,0.762583819,-49.10814434,22.8111856,11.74204969,-6.279511753,81.2648438,12.77384165,-36.7520346,40.21860529,11.86537261,-28.92733344,38.18755832,11.81084843,-33.49987283,31.98023061,11.66664178,-13.69455948,17.65123618,7.261422043,-11.95424542,19.6129036,7.197201476,-14.57116382,31.55465883,9.394299289,-2.369005871,3.01313613,0.402721594,-1.679843069,1.23076761,0.205816152,-11.75338462,9.3010253,1.468440424,-4.024490455,5.004100958,0.695983443,-22.98210829,20.57024958,2.190666345,-13.02621368,9.441043247,1.09431921,-15.8417977,16.59805109,2.736599794,-10.07320699,7.340420576,1.60051835,-12.69114689,10.0044404,2.372640339,-6.708734667,6.251419569,1.356031442,-18.98428949,19.26369473,2.52582562,-15.4504392,12.74210998,1.536332145,-1.276331165,1.628979685,0.250389193,-0.583242723,0.688006283,0.072501695,-0.832886855,1.214650187,0.221728644,-0.259999716,0.657860972,0.047356048,-3.130245143,4.537670044,0.616749412,-2.301264525,2.949389201,0.240003605
402,H,3,-2.576696911,3.194824394,0.955865191,-49.33952605,25.49289201,11.79602485,-6.201613407,81.2648438,15.06380816,-35.49629608,76.85663248,11.72144584,-81.71285453,41.71993605,11.77954421,-33.49987283,108.5515347,11.40056652,-15.00751529,24.31328758,7.723228597,-12.38925487,26.03697862,7.892846109,-14.90267168,27.36162242,9.030961621,-3.850799131,3.896590816,0.493862259,-1.752415142,1.53433624,0.229367023,-11.10107772,9.947656985,1.639238725,-4.049251641,4.761566301,0.800843278,-22.98210829,20.57024958,2.826353005,-13.02621368,9.441043247,1.430835908,-32.43936909,25.22611139,3.18360348,-21.53495861,15.07781323,1.920536153,-26.74725489,37.598371,2.819173618,-16.65844343,24.13292765,1.65439716,-51.824181,34.18257149,3.162702735,-33.72890666,27.77397333,1.974065054,-1.379233655,2.124148359,0.325520014,-0.583242723,0.562195833,0.080817503,-0.964052151,1.977107316,0.291379091,-0.513504468,0.558853376,0.059457349,-3.464899959,4.537670044,0.68551616,-2.301264525,2.949389201,0.251822631
402,H,4,-2.576696911,3.194824394,0.97289236,-49.33952605,25.49289201,10.51700467,-6.572832783,72.94639312,11.55140723,-43.875121,76.85663248,11.75051034,-81.71285453,41.71993605,9.624712581,-28.02477273,108.5515347,9.887471228,-15.51329576,24.31328758,9.067880181,-12.80521726,26.03697862,8.512527799,-15.121736,27.36162242,9.015164802,-3.850799131,3.896590816,0.465608579,-1.752415142,1.53433624,0.214205222,-11.10107772,9.947656985,1.460459556,-4.049251641,4.761566301,0.721251562,-20.26130497,18.4042111,2.1644262,-11.8506168,8.390662484,1.112163739,-32.43936909,25.22611139,2.952508301,-21.53495861,15.07781323,1.788259131,-26.74725489,37.598371,2.609559826,-16.65844343,24.13292765,1.532808741,-51.824181,34.18257149,2.879805439,-33.72890666,27.77397333,1.764726328,-1.515379995,2.124148359,0.357888139,-0.526779499,0.568241185,0.082442724,-1.486110035,1.977107316,0.320998132,-0.513504468,0.686627616,0.065971425,-3.464899959,4.244258989,0.627943603,-1.285088923,1.244804927,0.222342709
402,H,5,-1.96701131,2.737839902,0.891523998,-40.84218113,18.25343575,8.362650605,-6.572832783,103.6546328,12.26971744,-43.875121,44.79326557,12.31873147,-26.09752358,44.19259028,8.920672993,-24.84027392,29.58188642,9.328608771,-15.51329576,23.78274184,8.696820574,-12.80521726,25.42452885,7.42822117,-15.121736,27.38504339,9.462363827,-1.755565164,3.387589141,0.377710894,-1.551049431,1.378909057,0.179517384,-8.028685827,9.885968743,1.083258882,-3.991621154,3.339928794,0.563496211,-17.85246265,22.80528011,1.996888615,-10.62326872,9.246813366,0.894407139,-11.72368136,13.60036791,2.644026631,-7.214665859,7.223680169,1.560657541,-15.60222348,10.36918613,2.151157443,-5.964392381,6.496925508,1.217215565,-15.48747268,10.99335005,2.394334267,-8.235867544,9.993246153,1.418232702,-1.76087937,2.558017202,0.326203396,-0.461775275,1.219190925,0.079116817,-1.486110035,1.69046554,0.296290187,-0.305028569,0.686627616,0.061834636,-4.064370022,4.446309495,0.507657365,-1.635015941,2.705181753,0.207235631
402,H,6,-1.96701131,3.016585416,1.027967613,-46.7123017,24.25324846,10.75834994,-6.420170099,103.6546328,13.81639816,-120.8801466,44.79326557,12.02588149,-26.09752358,44.19259028,9.955288763,-27.91613032,65.14373116,10.34258166,-14.09195591,26.51963908,8.06288406,-12.06878462,20.81592765,7.760148753,-14.79635922,47.49797385,11.00571476,-5.09716029,5.26209468,0.441875367,-3.964791054,2.167990652,0.226835422,-12.65358382,11.39287929,1.407955163,-4.345569811,5.182761735,0.677603289,-20.71059295,22.80528011,2.323834058,-10.62326872,9.246813366,1.07679563,-38.89190763,46.28830218,3.241446598,-18.6488916,30.33441757,1.928370845,-15.60222348,10.36918613,2.414056326,-7.082965871,6.496925508,1.390703578,-24.18989984,26.01249536,2.777507452,-17.83683963,10.59582198,1.659679633,-1.76087937,2.741000924,0.358934271,-0.709474554,1.219190925,0.093914787,-1.235759237,1.69046554,0.291646986,-0.292492902,0.494239981,0.059450206,-4.064370022,6.449922698,0.654251343,-1.8647665,2.705181753,0.238564788
402,H,7,-2.602820042,3.016585416,1.103921311,-46.7123017,55.30297848,12.48348812,-6.505396417,77.81596769,7.879121574,-120.8801466,45.72136179,11.17148576,-116.242297,44.76552263,11.36146531,-35.74834024,154.2868291,11.94509686,-14.38415208,39.73520606,13.91364709,-12.74967096,40.83216247,14.76478875,-14.28391995,47.49797385,11.88135563,-11.580403,10.73109373,0.583544809,-7.476548879,4.129525687,0.325396664,-25.31538528,14.03414586,1.737104434,-12.78695413,9.395298428,0.829531331,-20.71059295,14.36646688,1.38904018,-10.60308749,7.524100858,0.748491877,-38.89190763,46.28830218,3.258593016,-18.6488916,30.33441757,1.950214353,-39.27007389,48.58982691,3.046376304,-20.97139179,30.39758832,1.798875659,-53.09290902,47.48614276,3.534259204,-35.71342072,21.87575641,2.133056189,-1.627149862,2.741000924,0.36179202,-0.786661876,0.746433699,0.107707846,-1.645328482,1.633471803,0.266829445,-0.777503518,0.593528425,0.060717466,-3.534245909,6.449922698,0.71824598,-1.8647665,1.607345226,0.260880889
402,H,8,-2.602820042,2.59872658,1.198175363,-48.94292693,55.30297848,12.41383941,-6.505396417,18.59979025,3.71098165,-45.89944002,46.91965438,11.11198534,-116.242297,44.76552263,11.87310035,-39.961932,154.2868291,13.11383632,-14.38415208,39.73520606,18.57516725,-12.74967096,40.83216247,19.18968924,-13.77261886,59.02495104,14.83483354,-11.580403,10.73109373,0.540751724,-7.476548879,4.129525687,0.296347165,-25.31538528,14.03414586,1.653405887,-12.78695413,9.395298428,0.779374229,-5.836796993,7.761511435,0.856045861,-4.758535553,3.049387673,0.536247751,-20.00798422,19.57818958,2.681275479,-13.53832585,11.94785022,1.581236982,-39.27007389,48.58982691,2.997554271,-20.97139179,30.39758832,1.759878584,-53.09290902,47.48614276,3.33705896,-35.71342072,21.87575641,2.028612929,-1.515720931,2.170404164,0.282235542,-0.786661876,0.746433699,0.086655269,-1.645328482,1.633471803,0.240776165,-0.777503518,0.593528425,0.055811873,-3.246688039,4.716096428,0.5938627,-1.303917538,1.607345226,0.226226679
402,H,9,-2.46751413,2.502799511,1.169861922,-51.1335605,17.17632514,13.49859635,-6.356416532,80.86327051,8.44156636,-32.44760288,46.91965438,11.29136658,-32.01808989,47.30424144,12.66698048,-39.961932,39.13138919,12.56110084,-14.39142786,34.85891361,14.68859703,-12.03067269,35.23755866,14.66296723,-14.92159624,59.02495104,14.30949215,-3.011960258,2.925121346,0.406796216,-1.668425953,1.168645562,0.205397589,-10.37874683,9.814176125,1.577407351,-3.552937374,4.276092546,0.68301473,-18.7678121,21.10466805,1.781323641,-10.4274205,8.415780891,0.911537792,-13.40379293,19.57818958,2.471568521,-10.78730435,8.947731952,1.428035363,-15.35709933,14.03113687,2.524144701,-9.191081585,7.757416801,1.443769647,-13.8304356,11.78238376,2.448336919,-7.467447595,7.76269611,1.468986357,-1.218864974,1.898356995,0.274983851,-0.37729736,0.432611297,0.067505813,-1.462345156,1.446990847,0.252669449,-0.274628951,0.547731246,0.051557871,-2.448093411,4.146645682,0.589603777,-1.206089822,1.112194662,0.202913603
