participant,condition,window_index,head_rotation_rad_min,head_rotation_rad_max,head_rotation_rad_rms,head_rotation_rad_mean,blink_aperture_min,blink_aperture_max,blink_aperture_rms,blink_aperture_mean,mouth_aperture_min,mouth_aperture_max,mouth_aperture_rms,mouth_aperture_mean,pupil_dx_min,pupil_dx_max,pupil_dx_rms,pupil_dx_mean,pupil_dy_min,pupil_dy_max,pupil_dy_rms,pupil_dy_mean,pupil_metric_min,pupil_metric_max,pupil_metric_rms,pupil_metric_mean,center_face_magnitude_min,center_face_magnitude_max,center_face_magnitude_rms,center_face_magnitude_mean,center_face_x_min,center_face_x_max,center_face_x_rms,center_face_x_mean,center_face_y_min,center_face_y_max,center_face_y_rms,center_face_y_mean
402,H,0,-0.704225994,0.305025108,0.109474235,-0.021289319,0.017121033,0.24142987,0.182497737,0.178613722,1.71e-09,0.24857821,0.033750456,0.011968296,-0.052490574,0.035025131,0.008349936,-0.003402529,-0.079212484,0.015015496,0.028341792,-0.025782958,0.015285001,0.108093933,0.050038373,0.048937201,0.021529779,0.766159266,0.191543632,0.155122081,0.002590329,0.48917991,0.118955117,0.090313908,0.005754762,0.760294639,0.150128755,0.110417686
402,H,1,-0.832915953,0.305025108,0.189114566,-0.052312907,0.061113585,0.235216321,0.176392475,0.172989404,5.03e-07,0.24857821,0.041749953,0.017844018,-0.052490574,0.035025131,0.007886821,-0.002667065,-0.077137532,0.016016069,0.028623632,-0.025980078,0.015285001,0.102334912,0.049361242,0.04839384,0.021529779,0.381566456,0.166692203,0.1457646,0.002590329,0.356743714,0.117092476,0.095290185,0.009041917,0.316837548,0.118640813,0.096482672
402,H,2,-0.832915953,0.429543531,0.205961329,-0.092843577,0.061113585,0.26009963,0.181140333,0.177954593,2.72e-06,0.244679148,0.035279479,0.014655267,-0.026368625,0.021935238,0.006915808,-0.003530378,-0.094269182,0.016016069,0.029887883,-0.027447213,0.016368817,0.118937721,0.050928855,0.050109787,0.008787942,0.424068672,0.154565591,0.130250658,0.002847316,0.351579504,0.116446447,0.095416111,0.008313887,0.27448342,0.101640281,0.076931536
402,L,0,-0.497086155,0.383412225,0.099933528,-0.028633067,0.012882901,0.269642395,0.188159276,0.184300659,8.74e-09,0.028784099,0.005253926,0.003396231,-0.066839651,0.04702973,0.008714514,-0.005209024,-0.111707184,0.013561504,0.028311404,-0.025404843,0.016823994,0.156322435,0.050790956,0.049516718,0.015137653,1.17411641,0.197504196,0.117269324,0.003486113,0.353887428,0.081986289,0.055462791,0.00954769,1.123250104,0.179683488,0.094842887
402,L,1,-0.497086155,0.185005161,0.099273822,-0.051573201,0.053056002,0.243507424,0.18410879,0.181792202,8.74e-09,0.195609876,0.020920131,0.006707479,-0.025921582,0.04702973,0.009744802,-0.007161958,-0.111707184,0.010301062,0.029543279,-0.027353941,0.021034492,0.141436387,0.052449863,0.051538487,0.010631245,0.369304569,0.118208632,0.098408758,0.002955913,0.289144619,0.07546472,0.054992162,0.008508975,0.291267866,0.090985475,0.073017011
402,L,2,-0.316889712,0.28651401,0.122940302,-0.074641766,0.059643291,0.227725583,0.183432174,0.181842739,1e-08,0.195609876,0.027179397,0.009571404,-0.025921582,0.021396155,0.010399078,-0.007355123,-0.060000434,0.010301062,0.02964802,-0.027736354,0.021034492,0.085121474,0.053810298,0.052893871,0.010631245,0.492906303,0.133675483,0.113838111,0.002955913,0.413341149,0.092982167,0.071746442,0.007657135,0.291267866,0.096038801,0.077904911
402,M,0,-0.473915008,0.313403728,0.100706746,-0.04656576,0.022054499,0.280840501,0.191377367,0.188488011,7.92e-08,0.236030252,0.027567384,0.009944235,-0.053608078,0.024911489,0.007146017,-0.002054284,-0.061420755,0.017247371,0.028062561,-0.026140293,0.020248669,0.091221565,0.050033598,0.049377013,0.019161669,0.769433543,0.165353274,0.134470316,0.005981742,0.386075284,0.111818989,0.090696895,0.009000061,0.759502751,0.121812228,0.083339341
402,M,1,-0.277687951,0.41971879,0.128995067,-0.03504856,0.042997876,0.232787549,0.185008892,0.183124131,7.92e-08,0.236030252,0.041574401,0.016465551,-0.049718205,0.022826809,0.007814574,-0.004241253,-0.058401039,0.016140824,0.030095151,-0.027917161,0.023745668,0.103028163,0.051672149,0.050774612,0.012409142,0.474654061,0.168466735,0.140037959,0.005739214,0.451049816,0.125036626,0.092433448,0.010034534,0.354930512,0.112902094,0.095375621
402,M,2,-0.402681173,0.41971879,0.164861789,-0.095869121,0.02704045,0.246992993,0.179151272,0.175393178,5.79e-07,0.228170038,0.032495593,0.011292665,-0.049718205,0.017180247,0.007786559,-0.004509706,-0.062335251,0.033519219,0.031426522,-0.028645471,0.020200322,0.103028163,0.052932093,0.051824985,0.012409142,0.84932651,0.245776569,0.199979868,0.005739214,0.451049816,0.146649085,0.117688905,0.010034534,0.785606904,0.197231254,0.142731305
404,H,0,-0.126812414,0.146571067,0.037633457,0.004443006,0.005540293,0.222871712,0.161224627,0.153656425,8.76e-08,0.203660512,0.039116578,0.019091689,-0.021106049,0.013273346,0.004996197,-0.001500427,-0.039682466,0.012697638,0.020561458,-0.017310133,0.025344319,0.062922816,0.041708308,0.04137736,0.010079973,0.335354454,0.133313403,0.112994499,0.00297804,0.3123441,0.087573758,0.068126881,0.006448281,0.302872401,0.100515174,0.078260465
