participant,condition,window_index,head_rotation_rad_min,head_rotation_rad_max,head_rotation_rad_rms,head_rotation_rad_mean,blink_aperture_min,blink_aperture_max,blink_aperture_rms,blink_aperture_mean,mouth_aperture_min,mouth_aperture_max,mouth_aperture_rms,mouth_aperture_mean,pupil_dx_min,pupil_dx_max,pupil_dx_rms,pupil_dx_mean,pupil_dy_min,pupil_dy_max,pupil_dy_rms,pupil_dy_mean,pupil_metric_min,pupil_metric_max,pupil_metric_rms,pupil_metric_mean,center_face_magnitude_min,center_face_magnitude_max,center_face_magnitude_rms,center_face_magnitude_mean,center_face_x_min,center_face_x_max,center_face_x_rms,center_face_x_mean,center_face_y_min,center_face_y_max,center_face_y_rms,center_face_y_mean
402,H,0,-0.679235914,0.453137181,0.254956922,-0.142501981,0.046080565,0.238223788,0.181243091,0.177501013,6.22e-06,0.329138247,0.04248803,0.020107291,-0.01926278,0.023323126,0.006252443,-0.002336946,-0.096141914,0.016991732,0.024702095,-0.022025373,0.023178286,0.115973074,0.04651893,0.045888842,0.01200569,0.916199286,0.360911845,0.296384743,0.005965849,0.913160328,0.330358428,0.249490781,0.009417654,0.411341246,0.14532952,0.115038835
402,H,1,-0.461493224,0.453137181,0.240720455,-0.147770167,0.046080565,0.239432427,0.185482141,0.182339281,1.43e-07,0.329138247,0.042750141,0.019713153,-0.018968424,0.01599762,0.005782064,-0.001084709,-0.050843181,0.01547552,0.026015577,-0.02368599,0.023178286,0.066239638,0.047528575,0.046954633,0.01200569,0.601424532,0.22809282,0.186078066,0.0074461,0.587860229,0.183669092,0.134585373,0.007531683,0.411341246,0.135247918,0.109155611
402,H,2,-0.502280485,0.271289038,0.199347109,-0.142404198,0.045080141,0.239432427,0.186693457,0.18384935,1.43e-07,0.253582639,0.04169602,0.019060928,-0.018704744,0.017943438,0.005832213,-0.001397175,-0.050086557,0.013964113,0.027598019,-0.025373205,0.024131925,0.066461271,0.04796265,0.047335701,0.021730784,0.499946486,0.198773131,0.175862603,0.009246817,0.493981217,0.156446476,0.126319637,0.007531683,0.308844416,0.122618342,0.106828335
402,H,3,-0.605329102,0.452922948,0.194377528,-0.09302093,0.045080141,0.258817449,0.183546645,0.180487688,1.93e-06,0.253582639,0.049988529,0.025509251,-0.018075071,0.035502657,0.005881065,-0.001987998,-0.101450933,0.017621983,0.026671329,-0.024251188,0.024131925,0.123030883,0.047684149,0.04705599,0.019535364,0.579220931,0.240754698,0.212923258,0.006894418,0.573280384,0.211883587,0.174677321,0.00797148,0.276456944,0.114316097,0.098536854
402,H,4,-0.605329102,0.452922948,0.210667898,-0.113695737,0.047249328,0.258817449,0.186584895,0.18426518,4.45e-08,0.229273521,0.037098208,0.015789322,-0.022055798,0.035502657,0.005693886,-0.000981144,-0.101450933,0.017621983,0.024551755,-0.022780572,0.027407719,0.123030883,0.046330538,0.045840998,0.019535364,0.579220931,0.217715527,0.178750297,0.006894418,0.573280384,0.199422816,0.154224382,0.004392611,0.276456944,0.087353255,0.071337393
402,H,5,-0.49353864,0.369131388,0.215506151,-0.140647348,0.060256791,0.230365137,0.189750951,0.188470131,4.45e-08,0.318575652,0.037778014,0.013056788,-0.022055798,0.020288362,0.005685186,0.000451303,-0.046747919,0.020393775,0.024256414,-0.022702334,0.026532898,0.071371422,0.045792055,0.045344867,0.023526131,0.567702006,0.171237509,0.141989471,0.0090638,0.565217334,0.153703443,0.12134268,0.004392611,0.274599326,0.075482024,0.059800934
402,H,6,-0.49353864,0.420241484,0.225259899,-0.123691079,0.047302776,0.24529655,0.181777334,0.179282246,3.24e-07,0.318575652,0.044056393,0.018083357,-0.058829907,0.020288362,0.005588767,0.000238272,-0.046608468,0.020393775,0.023539692,-0.021575911,0.026532898,0.092522244,0.04582012,0.045286695,0.017955457,0.628556902,0.20562701,0.174706191,0.008127822,0.496334265,0.171753115,0.133418807,0.00645537,0.408912021,0.113063411,0.088448449
402,H,7,-0.610118976,0.420241484,0.279775377,-0.206809741,0.047302776,0.361344555,0.178536236,0.175221422,3.4e-07,0.243093802,0.024593192,0.010840727,-0.058829907,0.02066322,0.005457424,-0.001152886,-0.13434116,0.0203336,0.022654857,-0.019995488,0.021990174,0.154545022,0.044882085,0.044128007,0.017955457,0.793855297,0.32537805,0.257613667,0.006527604,0.792419736,0.293446173,0.192247718,0.006777208,0.408912021,0.140571046,0.118914505
402,H,8,-0.610118976,0.343623909,0.321001334,-0.272559598,0.03699001,0.361344555,0.174938335,0.171473702,1.13e-05,0.071432688,0.012400875,0.009521954,-0.023115325,0.021330535,0.00574751,-0.002780884,-0.13434116,0.0203336,0.022396872,-0.019411878,0.019446765,0.154545022,0.04247671,0.041615497,0.019617625,0.793855297,0.454394201,0.408857427,0.006527604,0.792419736,0.424459704,0.355017585,0.013988254,0.482662416,0.162197564,0.135648123
402,H,9,-0.585309614,0.326034956,0.26429202,-0.156141553,0.03699001,0.23060652,0.174355974,0.170384101,1.12e-07,0.254022848,0.028833988,0.015217752,-0.016582469,0.021330535,0.005673467,-0.001979536,-0.053235437,0.021954862,0.023371081,-0.020133997,0.019446765,0.073356621,0.043406658,0.042626238,0.016194652,0.716863065,0.384564951,0.3380961,0.004996223,0.703686614,0.35335671,0.297420303,0.004840642,0.482662416,0.151753869,0.123165772
402,H,10,-0.583778606,0.326034956,0.194978782,-0.05349872,0.04118474,0.23060652,0.175414081,0.171709257,6.44e-08,0.282098973,0.040963299,0.019829233,-0.019157572,0.015454234,0.005560253,-0.001389339,-0.053235437,0.021954862,0.024330552,-0.020580921,0.022460601,0.073356621,0.045851389,0.045165861,0.016194652,0.580693664,0.287793283,0.252832304,0.004996223,0.563946865,0.248476388,0.204610637,0.004840642,0.397180823,0.145204885,0.113855451
402,H,11,-0.583778606,0.298484693,0.195092386,-0.07514352,0.044467764,0.229903478,0.178678247,0.175997719,6.44e-08,0.282098973,0.039878389,0.017421868,-0.019157572,0.018176295,0.005743286,-0.000918282,-0.062194924,0.01899653,0.026089054,-0.022872058,0.022460601,0.084940787,0.047410939,0.04663277,0.021891839,0.580693664,0.271357031,0.228153257,0.004644139,0.563946865,0.238818851,0.18894815,0.006908706,0.397180823,0.128841743,0.096040092
402,H,12,-0.514715973,0.298484693,0.178066796,-0.100694914,0.041798656,0.235394167,0.184326505,0.181440762,6.96e-07,0.250002076,0.036270829,0.016029311,-0.021589117,0.018176295,0.005312195,0.000548705,-0.062194924,0.028559977,0.027198209,-0.024149818,0.023644354,0.084940787,0.048558538,0.047827489,0.016804575,0.534138704,0.177528468,0.145416228,0.004644139,0.384546383,0.149992586,0.116536634,0.006240918,0.405976739,0.094966211,0.074296443
402,H,13,-0.378902715,0.274665712,0.176543187,-0.094788889,0.041798656,0.267113992,0.182775283,0.178810848,7.12e-06,0.4308692,0.037359143,0.017770496,-0.064911601,0.016711044,0.005344915,-0.000266871,-0.102272292,0.028559977,0.025789109,-0.02224279,0.019621167,0.141859851,0.047337639,0.046532254,0.011947302,0.534138704,0.179468914,0.146419149,0.003794362,0.363736568,0.126945356,0.095359638,0.006240918,0.422030047,0.126862002,0.097641681
402,H,14,-0.468961939,0.274665712,0.192204638,-0.111917942,0.048354494,0.277269092,0.184579607,0.181651984,3.74e-06,0.4308692,0.042837914,0.019004908,-0.064911601,0.021728033,0.005969906,-0.001095496,-0.1096397,0.027708802,0.025231793,-0.022319091,0.019621167,0.141859851,0.04621064,0.045346207,0.011947302,0.633851871,0.243998618,0.189343871,0.003794362,0.630215472,0.210058949,0.134316591,0.00780678,0.422030047,0.124139291,0.099673044
402,L,0,-0.86101067,0.391630932,0.201901983,-0.110389392,0.043809427,0.236576064,0.177528216,0.172629027,5.76e-07,0.22055078,0.039258312,0.018365581,-0.071850115,0.023265443,0.008221862,-0.004170141,-0.052712878,0.07158193,0.025495446,-0.022193615,0.016899328,0.147204407,0.046668856,0.045701502,0.011206701,1.381615618,0.284084735,0.220623901,0.006640138,1.266847391,0.208580793,0.140983223,0.008241781,0.561220983,0.192868322,0.146302902
