participant,condition,window_index,head_rotation_rad_min,head_rotation_rad_max,head_rotation_rad_rms,head_rotation_rad_mean,head_tx_min,head_tx_max,head_tx_rms,head_tx_mean,head_ty_min,head_ty_max,head_ty_rms,head_ty_mean,head_scalex_min,head_scalex_max,head_scalex_rms,head_scalex_mean,head_scaley_min,head_scaley_max,head_scaley_rms,head_scaley_mean,head_motion_mag_min,head_motion_mag_max,head_motion_mag_rms,head_motion_mag_mean,blink_aperture_min,blink_aperture_max,blink_aperture_rms,blink_aperture_mean,mouth_aperture_min,mouth_aperture_max,mouth_aperture_rms,mouth_aperture_mean,pupil_dx_min,pupil_dx_max,pupil_dx_rms,pupil_dx_mean,pupil_dy_min,pupil_dy_max,pupil_dy_rms,pupil_dy_mean,pupil_metric_min,pupil_metric_max,pupil_metric_rms,pupil_metric_mean
402,H,0,-0.329708674,0.208334991,0.061936365,0.007132382,-0.126070702,0.063712047,0.021495451,0.007076717,-0.147581909,0.194052332,0.031338265,-0.007103738,0.989822123,1.347592259,1.067167853,1.066824067,0.912023395,1.208467916,1.021735107,1.021023533,0.034446896,0.381945295,0.092405603,0.085007428,0.001559025,0.020704365,0.015612277,0.015306383,1.48e-10,0.022123733,0.002940207,0.001045673,-0.004731472,0.002988658,0.000776246,-0.000295553,-0.006064585,0.001430279,0.002408556,-0.002190223,0.001346354,0.008811893,0.00441615,0.004319764
402,H,1,-0.476921436,0.208334991,0.106294273,-0.008122699,-0.126070702,0.063712047,0.029729754,-0.001888413,-0.115308657,0.218508509,0.044622023,-0.00192648,0.990584312,1.347592259,1.070550473,1.070201037,0.958475925,1.173407018,1.039722865,1.039044426,0.034446896,0.381945295,0.1071728,0.098994914,0.00545191,0.02053723,0.015346805,0.015094484,4.54e-08,0.022123733,0.00371298,0.001591232,-0.004731472,0.002988658,0.000726497,-0.000257556,-0.006064585,0.001589216,0.002484017,-0.002246589,0.001346354,0.008811893,0.004396016,0.004308706
402,H,2,-0.476921436,0.21012834,0.111713563,-0.031139991,-0.12527694,0.061899377,0.030017502,-0.010306267,-0.107589771,0.218508509,0.046847673,0.007378209,0.990584312,1.278482208,1.075521232,1.0752788,0.919148091,1.173407018,1.039880459,1.039294456,0.039063142,0.327635513,0.109756696,0.103741831,0.00545191,0.020672142,0.015778443,0.015546564,2.39e-07,0.020798044,0.003186245,0.001320261,-0.002919472,0.003042937,0.00067311,-0.000410674,-0.006681404,0.001589216,0.002586363,-0.00237405,0.001420974,0.00925123,0.004547137,0.004475515
402,L,0,-0.296258452,0.271286313,0.060718814,0.002664381,-0.070170791,0.086471307,0.018899265,-0.002712801,-0.278045916,0.100444097,0.030378722,-0.004993307,0.914968052,1.212405809,1.053440887,1.053097923,0.907817357,1.414299552,0.983236174,0.982324664,0.02472284,0.504221627,0.08322231,0.075300023,0.001376411,0.022045343,0.015712513,0.015410186,7.86e-10,0.00259789,0.000459645,0.000297231,-0.005798895,0.003458532,0.00078326,-0.000456254,-0.00945762,0.001694777,0.002354801,-0.002110329,0.001478472,0.013685371,0.00446356,0.004354316
402,L,1,-0.296258452,0.145566823,0.054084912,-0.016005358,-0.070170791,0.043053795,0.019406195,-0.010221622,-0.070024789,0.100444097,0.023010227,0.00379412,0.980125959,1.212405809,1.057679323,1.057426961,0.907817357,1.10318689,0.992342555,0.991806508,0.027917704,0.238166171,0.076605674,0.072762059,0.004567423,0.020775327,0.015536432,0.015333635,7.86e-10,0.016830529,0.001838736,0.000586128,-0.002450715,0.003458532,0.000913707,-0.000678613,-0.00945762,0.000951421,0.002460008,-0.002277227,0.001809804,0.012122314,0.004608099,0.004529303
402,L,2,-0.16426917,0.198300652,0.065498341,-0.028872849,-0.063801196,0.062046272,0.020880212,-0.011225179,-0.112869884,0.066692852,0.029763306,0.008625625,0.968451437,1.177599064,1.057208925,1.057055372,0.947921972,1.114678801,1.003952428,1.003559368,0.028893786,0.185848604,0.075521826,0.072986879,0.005290271,0.019989003,0.015672122,0.015540626,8.35e-10,0.016830529,0.002414143,0.000846035,-0.002559235,0.001959709,0.001042004,-0.000743554,-0.00492503,0.000951421,0.002479746,-0.002320129,0.001809804,0.007361666,0.004750591,0.004670272
402,M,0,-0.184322999,0.230067473,0.051755031,-0.001976408,-0.085349594,0.051985666,0.01908804,-0.005180594,-0.134612949,0.124729218,0.026106489,-0.003962817,0.99820348,1.216435639,1.067552397,1.067305051,0.904195056,1.120433675,1.001926897,1.001345607,0.026356109,0.249726285,0.085265544,0.080902091,0.001901346,0.022232182,0.016128825,0.015906074,7.03e-09,0.021176979,0.002401988,0.000864903,-0.004340405,0.001983037,0.000659018,-0.000194795,-0.004569413,0.001695522,0.002353449,-0.002187479,0.001745848,0.008008741,0.004395205,0.004337759
402,M,1,-0.163557383,0.270315663,0.071583725,-0.000759429,-0.074356149,0.079425734,0.022134515,-0.005931303,-0.146695778,0.090426061,0.033573694,-0.00505507,1.006996299,1.266847496,1.059342074,1.059158852,0.947928887,1.141492815,1.011827467,1.011296487,0.026356109,0.280640841,0.081895683,0.077066589,0.0039883,0.01976732,0.01584496,0.015696087,7.03e-09,0.021176979,0.003648997,0.001439025,-0.005244771,0.001946152,0.000747646,-0.000391385,-0.004908172,0.001525203,0.002570014,-0.002374841,0.002018476,0.00913682,0.004559559,0.004477767
402,M,2,-0.252496617,0.270315663,0.085535022,-0.035444204,-0.169723715,0.079425734,0.025782436,-0.012719808,-0.146695778,0.090426061,0.037966956,0.001870415,0.952329806,1.266847496,1.05620495,1.055934921,0.913421263,1.141492815,1.010798679,1.010197596,0.02224464,0.304460783,0.084404132,0.078336544,0.002404256,0.020622309,0.015434218,0.0151152,5.04e-08,0.020202705,0.002865369,0.000989607,-0.005244771,0.001945202,0.000775241,-0.000493818,-0.005159274,0.002723063,0.002681896,-0.002437169,0.001694774,0.00913682,0.004685997,0.004586018
404,H,0,-0.050224291,0.148021624,0.049963827,0.042130865,-0.064601275,0.036981017,0.018521925,-0.010657362,-0.096704922,0.003758976,0.044251173,-0.040423772,1.04301654,1.132633406,1.074266379,1.07419435,1.012568042,1.209311661,1.082249153,1.081509334,0.05197932,0.246291805,0.127300211,0.121265497,0.000557315,0.019173049,0.014159886,0.013531676,7.76e-09,0.017995857,0.003432396,0.001679059,-0.001787693,0.001332627,0.000436706,-6.04e-05,-0.003449758,0.001234355,0.00180174,-0.001517503,0.002213166,0.005538445,0.00367157,0.003642354
404,H,1,-0.050224291,0.117335634,0.047600983,0.040318967,-0.067214316,0.036981017,0.01824274,-0.01182551,-0.096704922,-0.004929765,0.041918899,-0.038828508,1.04301654,1.112371742,1.074972794,1.074915102,1.012568042,1.209311661,1.072818766,1.07216666,0.05197932,0.241353136,0.120137754,0.114951359,0.001044847,0.019093958,0.014133253,0.013701046,2.27e-09,0.017995857,0.002957852,0.001301163,-0.001356066,0.001332627,0.000377992,-1.01e-05,-0.003394089,0.001234355,0.001870575,-0.001614593,0.002514158,0.00501218,0.003685089,0.003657355
404,H,2,-0.033885911,0.101920954,0.039592637,0.035699547,-0.067214316,0.018754797,0.019198316,-0.015582628,-0.081437405,-0.010467429,0.034829498,-0.032510061,1.051989979,1.113982471,1.079132971,1.079086681,1.023088527,1.173608043,1.059370958,1.058969815,0.066191413,0.210665372,0.110740564,0.107374535,0.001575412,0.018698961,0.014363871,0.014034519,7.78e-10,0.00179146,0.000627758,0.000436229,-0.001572699,0.001101747,0.000368188,-3.99e-05,-0.0034246,0.001321517,0.001958898,-0.001733032,0.002010062,0.005054162,0.003759354,0.003728772
404,L,0,-0.042737826,0.131016732,0.030270192,0.020803866,-0.078877833,0.04395904,0.031193008,-0.027663102,-0.100380996,-0.000343715,0.03422184,-0.028906628,1.041784151,1.131432903,1.084970225,1.084919638,1.023848387,1.221074353,1.068453644,1.067880194,0.071449464,0.248325586,0.123685304,0.119759015,0.001185548,0.01883759,0.015212211,0.014834943,5.98e-09,0.013366491,0.001505649,0.000597413,-0.001754041,0.001122893,0.00046973,-0.000211709,-0.003260081,0.002351003,0.001656484,-0.001444205,0.002069805,0.005227361,0.003765523,0.003736179
404,L,1,-0.036148299,0.104134391,0.02869385,0.021557745,-0.056203698,0.024786689,0.027521922,-0.025563827,-0.084960158,-0.000970639,0.031958508,-0.028050274,1.052050291,1.126260613,1.083476392,1.083437447,1.023848387,1.171777747,1.064857693,1.064398657,0.075451823,0.206785169,0.1181084,0.115008696,0.00260666,0.018862658,0.014954553,0.014577923,5.98e-09,0.013366491,0.001500411,0.00057348,-0.001626181,0.001122893,0.000451175,-0.000166453,-0.003499709,0.001615422,0.001747684,-0.001517955,0.002315229,0.005095417,0.003791739,0.003762775
404,L,2,-0.036148299,0.087716694,0.026393883,0.016930205,-0.056203698,0.003289338,0.030925592,-0.029134795,-0.084960158,-0.000970639,0.029781824,-0.02619887,1.052779719,1.117234548,1.086805349,1.086753004,1.031243269,1.174073981,1.070666965,1.070254008,0.075451823,0.206785169,0.12370506,0.121020945,0.002693636,0.019170688,0.014492005,0.014151243,4.08e-08,0.013072431,0.001910944,0.000760296,-0.001536449,0.001199313,0.000446897,-0.000181956,-0.003499709,0.001615422,0.00174227,-0.001507915,0.002369492,0.005014215,0.003749154,0.003717495
404,M,0,-0.01470302,0.287102831,0.076854264,0.061499092,-0.055578238,0.120233698,0.02667262,-0.00582655,-0.140599639,-0.019575035,0.055603689,-0.049061189,1.020090317,1.114902403,1.055277365,1.055193111,1.004898487,1.190056282,1.055970959,1.055220785,0.040550156,0.245690216,0.107983288,0.098542658,0.000550489,0.018858841,0.013882684,0.013365672,6.11e-09,0.015892649,0.002659778,0.001150381,-0.001500434,0.001624897,0.0004944,0.000114204,-0.00386268,0.002130184,0.001885144,-0.001564045,0.002028856,0.005255033,0.00379402,0.003760091
