participant,condition,window_index,head_rotation_rad_min,head_rotation_rad_max,head_rotation_rad_rms,head_rotation_rad_mean,head_tx_min,head_tx_max,head_tx_rms,head_tx_mean,head_ty_min,head_ty_max,head_ty_rms,head_ty_mean,head_scalex_min,head_scalex_max,head_scalex_rms,head_scalex_mean,head_scaley_min,head_scaley_max,head_scaley_rms,head_scaley_mean,head_motion_mag_min,head_motion_mag_max,head_motion_mag_rms,head_motion_mag_mean,blink_aperture_min,blink_aperture_max,blink_aperture_rms,blink_aperture_mean,mouth_aperture_min,mouth_aperture_max,mouth_aperture_rms,mouth_aperture_mean,pupil_dx_min,pupil_dx_max,pupil_dx_rms,pupil_dx_mean,pupil_dy_min,pupil_dy_max,pupil_dy_rms,pupil_dy_mean,pupil_metric_min,pupil_metric_max,pupil_metric_rms,pupil_metric_mean
402,H,0,-0.437585826,0.302614677,0.149296773,-0.064865327,-0.086545599,0.115333364,0.036638176,-0.006300114,-0.144666919,0.095367497,0.053114404,0.011603843,0.962976332,1.209131692,1.054591008,1.054219981,0.951717271,1.179399328,1.050561069,1.049667296,0.01703247,0.233801478,0.110587962,0.103229548,0.004087077,0.021502606,0.016225953,0.01591023,5.15e-07,0.028850687,0.003794423,0.001804814,-0.001931438,0.002288441,0.000681938,-0.000315919,-0.007847222,0.001568525,0.002158675,-0.001916138,0.00209659,0.010094256,0.004175222,0.004115854
402,H,1,-0.252059255,0.302614677,0.13146928,-0.063374054,-0.086545599,0.115333364,0.038775688,-0.022293947,-0.144666919,0.081762089,0.051043531,0.015557011,1.003755532,1.209131692,1.061763148,1.061560926,0.969720871,1.179399328,1.049462522,1.048751221,0.01703247,0.233801478,0.110441253,0.104916565,0.004087077,0.021814625,0.01651856,0.01624371,1.26e-08,0.028850687,0.003786524,0.001754518,-0.001688909,0.001742375,0.000563998,-0.000217706,-0.004928837,0.001397464,0.002287827,-0.002078613,0.00209659,0.006103324,0.004259091,0.004204674
402,H,2,-0.252059255,0.19809958,0.103526803,-0.061076337,-0.094032979,0.06106547,0.035935824,-0.025252526,-0.094562039,0.075532704,0.038365127,0.015661832,0.999056559,1.200369859,1.066047125,1.065846657,0.969720871,1.169369438,1.043843033,1.043280394,0.021529698,0.243634376,0.102829552,0.098571262,0.004270736,0.021814625,0.016361992,0.016120246,1.26e-08,0.021778388,0.003699833,0.001689054,-0.001688909,0.001621679,0.000576897,-0.000253775,-0.004387211,0.001388244,0.002384949,-0.002192557,0.002107035,0.006103324,0.004248042,0.004192974
402,H,3,-0.33388395,0.307469322,0.109554018,-0.032533753,-0.094032979,0.103880425,0.036832259,-0.019760082,-0.146456729,0.104203721,0.04286781,8.34e-05,0.975793351,1.200369859,1.063314786,1.063004747,0.972250611,1.169369438,1.04506553,1.044514995,0.01506904,0.243634376,0.104666502,0.099845817,0.004201497,0.021268513,0.016135591,0.015883166,1.84e-07,0.021778388,0.004416831,0.002252835,-0.001664312,0.003637301,0.000591334,-0.000231393,-0.007958971,0.001610452,0.002306425,-0.002097433,0.002107035,0.010284237,0.004228634,0.004174827
402,H,4,-0.33388395,0.307469322,0.11307693,-0.039168899,-0.081156995,0.103880425,0.034187228,-0.016696854,-0.146456729,0.104203721,0.042655491,0.001165643,0.975793351,1.167770336,1.057027766,1.056750219,0.972250611,1.147127773,1.038894189,1.038485194,0.01506904,0.203376022,0.095531493,0.090391505,0.004201497,0.021268513,0.016442221,0.016251368,3.97e-09,0.020210389,0.003262815,0.001391111,-0.002110933,0.003637301,0.000550417,-0.00015441,-0.007958971,0.001610452,0.002138138,-0.001981896,0.002402946,0.010284237,0.004124762,0.004080822
402,H,5,-0.244291724,0.25014283,0.105171237,-0.046957818,-0.081156995,0.091349086,0.030881198,-0.013563529,-0.120736074,0.08606324,0.038229312,0.006730553,0.992049013,1.167770336,1.050051078,1.049867945,0.974758038,1.135922285,1.033828373,1.033528301,0.020351163,0.203376022,0.08385111,0.079510398,0.005796371,0.019798319,0.016751515,0.016655796,3.97e-09,0.027148368,0.003359009,0.001162443,-0.002110933,0.002380884,0.00052414,-4.84e-05,-0.004309626,0.001865982,0.002124409,-0.001986608,0.002402649,0.005920306,0.004080424,0.004039859
402,H,6,-0.244291724,0.285915456,0.121122663,-0.041252042,-0.081658296,0.105044041,0.035205068,-0.010746606,-0.142077948,0.077764945,0.04627453,8.73e-05,0.974353231,1.240492982,1.047038656,1.046811049,0.966113437,1.133950807,1.034665247,1.034251329,0.020351163,0.256213055,0.08987823,0.084397105,0.004431082,0.02144821,0.016169238,0.015969994,2.9e-08,0.027148368,0.003926941,0.001615771,-0.006013664,0.002380884,0.000541959,-5.24e-05,-0.004036782,0.001865982,0.002073475,-0.001897235,0.002347462,0.008491932,0.004104321,0.004055761
402,H,7,-0.389695768,0.285915456,0.158390126,-0.101305643,-0.081658296,0.105044041,0.033793976,-0.015396537,-0.142077948,0.098677932,0.049846745,0.018380261,0.974353231,1.240492982,1.048516038,1.048146316,0.951342733,1.142717919,1.034648928,1.03409766,0.012668825,0.256213055,0.094989816,0.089694928,0.004431082,0.026267148,0.016004386,0.015716043,3.01e-08,0.021217145,0.002211808,0.000977157,-0.006013664,0.001947215,0.000604076,-0.00027489,-0.010854247,0.001916673,0.001964192,-0.001733095,0.001971412,0.012946238,0.004034432,0.003971144
402,H,8,-0.399236002,0.197475693,0.191870404,-0.153439039,-0.074318863,0.050282301,0.022770459,-0.005853714,-0.079294663,0.098677932,0.050429378,0.035416644,0.940254101,1.224656548,1.039844984,1.039356831,0.951342733,1.194837653,1.043299747,1.042550352,0.012668825,0.236642336,0.094864127,0.088924748,0.003619347,0.026267148,0.015812417,0.015519337,9.8e-07,0.00668137,0.00111376,0.000857629,-0.002202114,0.00254152,0.00073107,-0.000497659,-0.010854247,0.001916673,0.001911746,-0.001653967,0.001684955,0.012946238,0.003815656,0.003742048
402,H,9,-0.399236002,0.234680228,0.162558888,-0.078498447,-0.077340856,0.071015928,0.023849448,-0.001157439,-0.146690234,0.098124946,0.050670806,0.008010126,0.940254101,1.22186842,1.052048542,1.05149418,0.982230592,1.194837653,1.051601465,1.050814227,0.024992437,0.236767902,0.105788882,0.098452398,0.003619347,0.020030919,0.01552903,0.015208259,9.99e-09,0.020775691,0.00261191,0.001373633,-0.001987145,0.00254152,0.000669502,-0.000305397,-0.004495836,0.001978633,0.002009877,-0.001724244,0.001684955,0.006430896,0.003867403,0.003798962
402,H,10,-0.319798375,0.234680228,0.117852468,-0.004252585,-0.077340856,0.071015928,0.029205231,0.000556998,-0.146690234,0.095924417,0.05032408,-0.015199701,0.980717078,1.22186842,1.068823894,1.068548188,0.963692423,1.162826919,1.05073103,1.049979004,0.024992437,0.236767902,0.112921607,0.106677207,0.003808959,0.020792929,0.015412994,0.01510793,5.84e-09,0.02562476,0.003702135,0.001786875,-0.001773208,0.001592634,0.000578812,-0.000117034,-0.004495836,0.001978633,0.002101117,-0.001773452,0.001945134,0.006430896,0.004073674,0.004013339
402,H,11,-0.319798375,0.203016946,0.113370365,-0.014477368,-0.070670616,0.059184376,0.02729356,0.000804854,-0.119818094,0.095924417,0.045091001,-0.007872895,0.980717078,1.185218186,1.062473327,1.062223572,0.963692423,1.160267729,1.043005971,1.042379449,0.035681032,0.209861019,0.101405727,0.095928447,0.004160281,0.020792929,0.015710417,0.015493522,5.84e-09,0.02562476,0.003574573,0.001555623,-0.001716745,0.001592634,0.000578902,-9.16e-05,-0.005165428,0.001716756,0.002259442,-0.001981021,0.001945134,0.007334613,0.004215026,0.004146211
