participant,condition,track_point_accuracy,resman_point_accuracy,sysmon_point_accuracy,comms_point_accuracy,mean_sysmon_response_time,mean_comms_response_time,window_index
415,H,0.9109531772575252,1.0,0.8461538461538461,1.0,2800.0,2.2563090000000017,0
415,H,0.9530791788856304,1.0,1.0,1.0,2180.0,2.376669000000002,1
415,H,1.0,1.0,1.0,1.0,1700.0,2.4013906666666665,2
415,H,0.9743912678421496,1.0,1.0,1.0,1727.2727272727273,2.3304739999999953,3
415,H,0.9585253456221198,1.0,0.8181818181818182,0.0,1500.0,0.0,4
415,H,0.9840537138061268,1.0,0.6923076923076923,0.0,1527.2727272727273,0.0,5
415,H,1.0,1.0,0.8333333333333334,1.0,1600.0,2.48169750000001,6
415,H,0.969633066216786,1.0,1.0,0.8,1960.0,2.6254505000000137,7
415,H,0.9427368421052632,1.0,0.8181818181818182,1.0,2360.0,2.6935656666666907,8
415,H,0.9731993299832497,1.0,0.7777777777777778,0.0,2000.0,0.0,9
415,H,1.0,1.0,1.0,0.5,1800.0,2.651779999999974,10
415,H,0.9704391891891893,1.0,1.0,0.8,800.0,2.521593249999995,11
415,H,0.9704765921552088,1.0,1.0,1.0,1066.6666666666667,2.6010815000000065,12
415,H,0.9881856540084388,1.0,1.0,1.0,1133.3333333333333,3.102604500000041,13
415,H,0.9882005899705014,1.0,1.0,1.0,1000.0,3.0070550000000367,14
443,M,1.0,1.0,1.0,1.0,1200.0,2.8641746666666656,0
443,M,1.0,1.0,1.0,1.0,1025.0,3.038411999999999,1
443,M,1.0,1.0,1.0,1.0,1040.0,2.870463000000001,2
443,M,1.0,1.0,1.0,0.0,1250.0,0.0,3
443,M,1.0,1.0,1.0,1.0,1428.571428571429,2.6533170000000155,4
443,M,1.0,1.0,1.0,0.0,1180.0,0.0,5
443,M,1.0,1.0,1.0,0.0,1044.4444444444443,0.0,6
443,M,1.0,1.0,1.0,1.0,1300.0,3.5022690000000125,7
443,M,1.0,1.0,0.0,0.5,0.0,3.5022690000000125,8
443,M,1.0,1.0,0.0,1.0,0.0,2.4701929999999948,9
443,M,1.0,1.0,0.0,1.0,0.0,2.9744810000000257,10
443,M,1.0,1.0,0.0,1.0,0.0,2.8585084999999992,11
443,M,1.0,1.0,1.0,1.0,2633.3333333333335,2.694491999999997,12
443,M,1.0,1.0,0.8888888888888888,0.6666666666666666,2275.0,2.610876000000019,13
443,M,1.0,1.0,0.8,1.0,1150.0,2.7282835000000034,14
446,M,0.1378033730974907,1.0,1.0,1.0,2400.0,3.044962999999999,0
