experiment_name,split_strategy,n_features,n_seeds,test_bal_acc_mean,test_bal_acc_std,test_f1_mean,test_f1_std,test_kappa_mean,test_kappa_std,timestamp
linear_procrustes_random,random,292,15,0.7755173013388974,0.015872372618979,0.7751155481246056,0.0158543332596872,0.6636078847393597,0.02381529225697,2025-10-14T11:49:07.152589
linear_procrustes_participant,participant,292,15,0.4264629305209017,0.0215715877800941,0.4199756035455899,0.0201377609317578,0.1400328526842654,0.031984412124473,2025-10-14T11:49:16.937946
linear_none_random,random,238,15,0.7053295079116677,0.0220084704535345,0.7040497308737238,0.0223517560726981,0.5584353668208567,0.032998624545437,2025-10-14T11:49:25.705896
linear_none_participant,participant,238,15,0.4509532657358744,0.0275461362323083,0.4434711913207794,0.0263795210707366,0.17671190665461,0.0411730540045584,2025-10-14T11:49:34.440811
rqa_procrustes_random,random,148,15,0.5421289051179504,0.0231405759326639,0.5400868815415726,0.023488785807965,0.3135901686362599,0.0346841502223807,2025-10-14T11:49:41.666173
rqa_procrustes_participant,participant,148,15,0.4257595866291518,0.0228355198961706,0.4230425501663448,0.0232285473384354,0.1388089184978833,0.0340885356456944,2025-10-14T11:49:48.955639
rqa_none_random,random,148,15,0.5246754187677506,0.0206689018928521,0.5222375324954502,0.0210441178142678,0.2874971389156276,0.0309813187870748,2025-10-14T11:49:56.094330
rqa_none_participant,participant,148,15,0.4316971916971918,0.0259734740844426,0.4288192732281816,0.0267852771323932,0.1478158344009582,0.0390170196988897,2025-10-14T11:50:03.232943
combined_procrustes_random,random,448,15,0.7291833304352866,0.0158219583547764,0.727841746683125,0.0158320063612713,0.5942427036574657,0.023746556558482,2025-10-14T11:50:14.820784
combined_procrustes_participant,participant,448,15,0.4336536249579729,0.0188174874289191,0.426748555165209,0.0188107304211427,0.1507329306379405,0.0280992310183656,2025-10-14T11:50:26.459889
combined_none_random,random,394,15,0.6600909986668985,0.0243278817101834,0.6579098828598663,0.0249318448734788,0.4906374447371993,0.0364606543701954,2025-10-14T11:50:36.983041
combined_none_participant,participant,394,15,0.4563587030253698,0.023517274207465,0.4479875703805335,0.023391196250878,0.1848048011467487,0.0350419090941286,2025-10-14T11:50:47.504324
performance_random,random,1,15,0.5413971483220308,0.0188248280129691,0.5368792887983665,0.0189058815886037,0.3130099508576599,0.0282223980233228,2025-10-14T11:50:50.880230
performance_participant,participant,1,15,0.5193487993487993,0.0205227785308742,0.511989103974674,0.0199333350412311,0.2804107506580762,0.0305957596380206,2025-10-14T11:50:54.281220
linear_perf_procrustes_random,random,301,15,0.7946031746031745,0.0134841650175351,0.7938836164326702,0.0137022453866195,0.6930548382676807,0.0201580891156355,2025-10-14T11:51:03.870784
linear_perf_procrustes_participant,participant,301,15,0.5079191071944694,0.0313088717415233,0.49840984927747,0.0298735342211866,0.2638703505467892,0.0465972077022075,2025-10-14T11:51:13.426648
linear_perf_none_random,random,247,15,0.745978835978836,0.013516343546937,0.7437934130171527,0.0135169101943899,0.6204989201326049,0.0203163725970787,2025-10-14T11:51:21.992663
linear_perf_none_participant,participant,247,15,0.5219771961800947,0.0299645421567579,0.51165621011565,0.0290758399995744,0.2851291710141704,0.044077401896238,2025-10-14T11:51:30.505623
rqa_perf_procrustes_random,random,157,15,0.6285126396237506,0.0190687030653428,0.6222558132813213,0.0203443220522183,0.4448202180065925,0.0285011212258056,2025-10-14T11:51:37.576162
rqa_perf_procrustes_participant,participant,157,15,0.530590268561283,0.0372466096273245,0.5239058696473713,0.0384253840648027,0.2976894671693608,0.0568452495395501,2025-10-14T11:51:44.628729
rqa_perf_none_random,random,157,15,0.6185273368606701,0.0179919280776645,0.6118072774109257,0.0185112263256205,0.4298236223259173,0.0270540309793854,2025-10-14T11:51:51.581046
rqa_perf_none_participant,participant,157,15,0.5425174449812131,0.0245861082102582,0.5329771501014258,0.0270518573438903,0.3159237617058576,0.0376392025589839,2025-10-14T11:51:58.524002
all_procrustes_random,random,457,15,0.761634332745444,0.01522900103911,0.7599413511120982,0.0152187942918414,0.6438754363897847,0.0228874880426341,2025-10-14T11:52:10.022023
all_procrustes_participant,participant,457,15,0.5059808414880879,0.0228932642119045,0.4959879552588437,0.0228948749245492,0.2610034636148498,0.0337509444201241,2025-10-14T11:52:21.665953
all_none_random,random,403,15,0.7051763668430334,0.0143902517997625,0.7020061952996248,0.0150417296601599,0.5593579271024024,0.0214484405715763,2025-10-14T11:52:32.577071
all_none_participant,participant,403,15,0.5257089180277587,0.0299615622320336,0.5149135917178713,0.0277302429662958,0.2905740503505823,0.0447105259469542,2025-10-14T11:52:43.552868
modelB1_perf_random,random,310,15,0.7807936507936508,0.0103555033995642,0.7805771754473849,0.010450652164993,0.6718781763265175,0.0155642475786385,2025-10-14T11:52:53.379388
modelB1_perf_participant,participant,310,15,0.4325688803949674,0.0243207598375582,0.4252230276907489,0.0244041264767407,0.1502056571902141,0.0364915328837708,2025-10-14T11:53:03.168506
modelB2_perf_linear_random,random,1201,15,0.7918930041152265,0.0169067245986554,0.7918599470505979,0.0167986532697134,0.6884307934302683,0.0254461492023045,2025-10-14T11:53:14.419934
modelB2_perf_linear_participant,participant,1201,15,0.4360740976683006,0.0291776886274094,0.4288967705887935,0.0293816326031188,0.155418459721617,0.0436222167840686,2025-10-14T11:53:25.160954
modelB3_perf_rqa_random,random,778,15,0.7968283362727806,0.0132649640598385,0.7968121786390541,0.0133644580793907,0.6957722695412556,0.0199758420639357,2025-10-14T11:53:35.639952
modelB3_perf_rqa_participant,participant,778,15,0.4323939292055235,0.0327267610590809,0.4242762614480268,0.0308407920124079,0.1499643556320283,0.048292332799648,2025-10-14T11:53:45.803306
modelB4_all_baseline_random,random,1669,15,0.7943033509700176,0.0182395483117212,0.7942973736261433,0.0182886495594552,0.6920146231216955,0.0274046433642057,2025-10-14T11:53:57.727320
modelB4_all_baseline_participant,participant,1669,15,0.4269185940200434,0.0286886952320443,0.4185148166402779,0.0276197888896036,0.141829896821846,0.042754160001993,2025-10-14T11:54:09.183222
modelB5_linear_random,random,1183,15,0.7940691473946558,0.0174057410614139,0.793730390158874,0.0174615220811452,0.6913841968032564,0.0261201522325702,2025-10-14T11:54:20.551865
modelB5_linear_participant,participant,1183,15,0.4373708953419098,0.0308374566165527,0.4290044356941211,0.0286423618246492,0.1564037043381325,0.0459494300012133,2025-10-14T11:54:31.376265
modelB6_rqa_random,random,760,15,0.7998695878977569,0.0156879803452735,0.799585304242331,0.0156715089267374,0.700073271275421,0.0235344455918402,2025-10-14T11:54:42.087355
modelB6_rqa_participant,participant,760,15,0.4248883698159061,0.0211442464063507,0.4167934466937249,0.0202189692196431,0.1375866858386443,0.0315365653559459,2025-10-14T11:54:52.338780
modelB7_linear_rqa_random,random,1651,15,0.7932403060337331,0.0153532143050547,0.7930083117342187,0.0154025148842933,0.6901403521933318,0.0230203729396641,2025-10-14T11:55:04.577627
modelB7_linear_rqa_participant,participant,1651,15,0.42868279332047454,0.023864624074455307,0.4204003849828937,0.02370283702742244,0.14334902398076146,0.03554240020500765,2025-10-14T11:55:16.125051
