experiment_name,split_strategy,n_features,n_seeds,test_bal_acc_mean,test_bal_acc_std,test_f1_mean,test_f1_std,test_kappa_mean,test_kappa_std,timestamp
linear_procrustes_random,random,43,20,0.8471775804341343,0.0167748469916564,0.847139114656265,0.0168322920601192,0.7709828382065395,0.0251158998144383,2025-10-10T00:47:37.356454
linear_procrustes_participant,participant,43,20,0.369761647370343,0.0263655701570356,0.3657586886469449,0.0267148995891928,0.0549958086800003,0.0397879474387259,2025-10-10T00:47:48.650038
linear_none_random,random,35,20,0.7478159131034874,0.0194500791361208,0.7472360436484697,0.0196300616874573,0.6220717052874715,0.029112117289022,2025-10-10T00:47:58.975100
linear_none_participant,participant,35,20,0.4056819428558559,0.0196260079905635,0.3992188198892305,0.01941973648264,0.1087775240293213,0.0291792961170573,2025-10-10T00:48:09.066282
rqa_procrustes_random,random,156,20,0.5365789858953175,0.0202606892161517,0.5346371957310158,0.0204641811072514,0.3054129135416087,0.0303269505060892,2025-10-10T00:48:23.123100
rqa_procrustes_participant,participant,156,20,0.4207381668251234,0.0235754364944372,0.4183582072555221,0.0237727285710382,0.1314030509946768,0.0352029370651095,2025-10-10T00:48:37.650878
rqa_none_random,random,155,20,0.5200380945072505,0.0156252159623492,0.518592641895866,0.0161419305160513,0.2806336634390103,0.0233869806796758,2025-10-10T00:48:53.967099
rqa_none_participant,participant,156,20,0.4356198632285589,0.020040615335475,0.4330718000897099,0.0192409229727886,0.1538103735332183,0.0298385527431254,2025-10-10T00:49:08.024874
combined_procrustes_random,random,200,20,0.6577341863847037,0.0190555567864174,0.6562474063577655,0.0193561518886334,0.4871292404010326,0.028562059480989,2025-10-10T00:49:23.936796
combined_procrustes_participant,participant,199,20,0.4193502230458753,0.0229809220179663,0.4165125656031515,0.0233912903018676,0.1293897186350405,0.0342709819205774,2025-10-10T00:49:42.582090
combined_none_random,random,191,20,0.5873380731728024,0.0182241732100165,0.5853838548997559,0.0184442620603354,0.381633474398289,0.0273209506380954,2025-10-10T00:49:59.285863
combined_none_participant,participant,191,20,0.4486566975697411,0.0214626427206022,0.4436896669218655,0.0202008580483687,0.1734635047154106,0.0317791140489059,2025-10-10T00:50:16.080193
performance_random,random,5,20,0.5495424708746306,0.0168804058574253,0.5457949706940752,0.0159045268999008,0.3251953887759115,0.0253668330985389,2025-10-10T00:50:23.684195
performance_participant,participant,5,20,0.5211172161172161,0.0243782006410726,0.5144147437206124,0.0232907196396767,0.2831625750970773,0.0354897064702178,2025-10-10T00:50:31.242107
