,,H,H,H,H,M,M,M,M,L,L,L,L
,,Track,ResMan,SysMon,Comms,Track,ResMan,SysMon,Comms,Track,ResMan,SysMon,Comms
H,Track,1.0,0.06601943258275937,-0.009065637770836646,-0.0409465856982041,0.8311615151072705,0.07029060253865357,0.035720864402302765,0.013747000816681516,0.6322705329715338,0.03919521242895963,0.03803323830754988,-0.030551928515097766
H,ResMan,0.06601943258275936,0.9999999999999997,-0.0021160169350371953,0.05093835533200002,-0.06292784212853801,0.34305153985617864,0.048874512834158224,0.2531162870231254,-0.1308414336448914,0.17519215612407787,-0.1121956382365643,0.11907189924993451
H,SysMon,-0.009065637770836653,-0.0021160169350371676,1.0,0.1003922099203427,-0.06597654521476069,0.17307791870399766,0.2104021529536107,0.15389147303321205,0.10536861973885077,0.30521262080988465,0.23277734067293862,0.17778869376898784
H,Comms,-0.040946585698204085,0.05093835533200003,0.1003922099203427,0.9999999999999999,-0.07580315935698603,-0.02385843664618883,0.12023672716052923,0.3719115817505346,0.23277295081057292,0.28606470468186046,0.0885900891971143,0.35450972064337893
M,Track,0.8311615151072704,-0.062927842128538,-0.06597654521476068,-0.075803159356986,0.9999999999999998,0.10417769822303283,-0.04885691814575842,-0.06292460670819322,0.707391693876065,-0.08799790463768173,0.049741809603818,-0.10540607071255569
M,ResMan,0.07029060253865356,0.34305153985617876,0.17307791870399764,-0.023858436646188818,0.10417769822303286,0.9999999999999998,0.07911024755419563,0.0054849276155367055,0.06300367026486384,0.5464710377685945,0.09931793704156947,0.19969833492253328
M,SysMon,0.03572086440230278,0.048874512834158224,0.21040215295361075,0.12023672716052923,-0.04885691814575843,0.07911024755419563,1.0,0.1078849281146275,0.027972963907842624,0.2982508515862677,0.3152745974508368,0.2273143593477205
M,Comms,0.013747000816681516,0.25311628702312544,0.1538914730332121,0.3719115817505346,-0.06292460670819322,0.005484927615536692,0.10788492811462753,0.9999999999999998,0.20757529867966887,0.239770461830033,-0.14010574086524552,0.34343266954404195
L,Track,0.6322705329715339,-0.13084143364489143,0.10536861973885074,0.23277295081057292,0.7073916938760652,0.06300367026486385,0.027972963907842624,0.20757529867966887,1.0,0.25332938704172797,0.028217919555516006,0.25034542430788365
L,ResMan,0.03919521242895964,0.17519215612407785,0.30521262080988465,0.28606470468186046,-0.08799790463768173,0.5464710377685946,0.29825085158626763,0.239770461830033,0.25332938704172797,0.9999999999999996,0.08979571648286469,0.43190315346913727
L,SysMon,0.0380332383075499,-0.11219563823656428,0.23277734067293857,0.08859008919711432,0.04974180960381797,0.09931793704156945,0.3152745974508368,-0.14010574086524552,0.02821791955551602,0.08979571648286472,0.9999999999999998,0.1953812890873725
L,Comms,-0.030551928515097766,0.11907189924993453,0.1777886937689878,0.354509720643379,-0.10540607071255564,0.19969833492253328,0.22731435934772054,0.3434326695440419,0.25034542430788365,0.43190315346913727,0.1953812890873725,1.0
