,,H,H,H,H,M,M,M,M,L,L,L,L
,,Track,ResMan,SysMon,Comms,Track,ResMan,SysMon,Comms,Track,ResMan,SysMon,Comms
H,Track,0.0,0.5816398799700273,0.9397534660215245,0.7327228309420033,1.630902713766728e-19,0.5573894282803469,0.765785636797382,0.9087534139645536,3.336903333034914e-09,0.7455388779401793,0.752838102253135,0.8003264187128896
H,ResMan,0.5816398799700273,0.0,0.9859254284341121,0.670882064160223,0.5994884512461753,0.0031774697249444817,0.683494163094739,0.03193362815897499,0.2767699990458509,0.14392736032993164,0.35157303847008187,0.3226470012048613
H,SysMon,0.9397534660215245,0.9859254284341121,0.0,0.4014299719336326,0.581885809207674,0.14597136317689324,0.07606448915858299,0.19682068268986383,0.381829491983578,0.009648088912490142,0.050757119370381,0.13798709113434218
H,Comms,0.7327228309420033,0.670882064160223,0.4014299719336326,0.0,0.5268214480394613,0.8423169240661068,0.3143952292467535,0.0012964289280179354,0.05076160435439496,0.015588423439062044,0.4625406488275238,0.002418924907596267
M,Track,1.630902713766728e-19,0.5994884512461753,0.581885809207674,0.5268214480394623,0.0,0.38382012231756274,0.6836020623271266,0.5995072566907507,5.342615338297809e-12,0.4655493780806639,0.6803778891230795,0.3816593688590004
M,ResMan,0.5573894282803469,0.003177469724944461,0.14597136317689324,0.8423169240661068,0.38382012231756274,0.0,0.5088939533053782,0.9635278868739079,0.6016882096744157,8.225775533048115e-07,0.4099090902132869,0.09498176896557871
M,SysMon,0.765785636797382,0.683494163094739,0.07606448915858269,0.3143952292467535,0.6836020623271266,0.5088939533053782,0.0,0.3670307624939143,0.8168751801968982,0.011527769455434149,0.007404832475832733,0.056595036017215196
M,Comms,0.9087534139645536,0.03193362815897499,0.19682068268986297,0.0012964289280179354,0.5995072566907507,0.9635278868739079,0.3670307624939143,0.0,0.08238919564654737,0.044013487872869766,0.24387502761340035,0.003365745192922287
L,Track,3.3369033330348604e-09,0.2767699990458509,0.381829491983578,0.05076160435439496,5.342615338297694e-12,0.6016882096744157,0.8168751801968982,0.08238919564654737,0.0,0.03303921238718474,0.81529978404074,0.035233759461991615
L,ResMan,0.7455388779401793,0.14392736032993164,0.009648088912490142,0.015588423439062044,0.4655493780806639,8.225775533047984e-07,0.011527769455434149,0.044013487872869766,0.03303921238718474,0.0,0.4564481024139682,0.00016928332482010685
L,SysMon,0.752838102253135,0.35157303847008187,0.050757119370381,0.4625406488275238,0.6803778891230795,0.4099090902132869,0.007404832475832733,0.24387502761340035,0.81529978404074,0.4564481024139682,0.0,0.10249656325189707
L,Comms,0.8003264187128896,0.3226470012048613,0.13798709113434218,0.002418924907596267,0.3816593688590004,0.09498176896557871,0.056595036017215196,0.003365745192922287,0.035233759461991615,0.00016928332482010685,0.10249656325189707,0.0
