,,H,H,H,H,M,M,M,M,L,L,L,L
,,Track,ResMan,SysMon,Comms,Track,ResMan,SysMon,Comms,Track,ResMan,SysMon,Comms
H,Track,0.6638767260834024,0.12093828607821992,0.11475912678997847,-0.10133848782972575,0.7087614391883718,0.00032128182251299573,0.17037744336014554,-0.08920308306398908,0.4638903731222931,0.033584470095856855,0.13848872249770897,-0.08324073221803996
H,ResMan,0.13006505355943407,0.3536235692425139,0.06311592913170996,0.11261078609416704,-0.00029939264925444003,0.24429085362563924,-0.11825536120967953,0.029750900515964004,-0.07527460732703642,0.2078153901934417,-0.12887710319294138,0.028280939167328503
H,SysMon,0.029979493615144112,0.09690176548964036,0.22612877078045296,0.18879308816895843,-0.02646840844464888,0.07302216784275002,0.2841643452392109,0.30185090382934493,0.10055864170780783,0.20125621192894194,0.20109534575476518,0.18896130918950263
H,Comms,0.024590684684074812,-0.01325532578312007,0.29014966687818755,0.5070950634496002,0.10585941268735645,-0.19631410991804973,0.23763557584780753,0.43358659303248875,0.3604897471216014,0.13577421384980984,0.20460974400688603,0.2645524786621108
M,Track,0.6771585758855184,0.08442403957883876,0.02682993771619325,-0.08959055017535805,0.8306776372222783,0.09433524155508277,0.03518731661194554,-0.11391144810204967,0.5303963157224556,0.006404483216693936,0.08552337776245339,-0.0793838762487226
M,ResMan,0.13272674481770233,0.22630823977070863,0.15185725666132296,0.08349653470562432,0.06806088110255537,0.5280755713954065,0.14762870766164737,0.04459195861878287,0.13318671295698428,0.2809536923400763,0.021936946166006374,0.14272342370427882
M,SysMon,0.04228188210536196,0.16686689513289166,0.30973400474677776,0.2512078441082538,-0.009338633885795995,0.07882450239171566,0.5626312593923037,0.11163106702997659,0.05869155435411537,0.1776651926806036,0.16116801285996837,-0.09515989500942493
M,Comms,0.06764082450646032,0.15171329128133393,0.2592259739987135,0.48831957367477996,0.10600768080263497,-0.04917514240732984,0.22709304748445283,0.5805807784359528,0.32202184764074016,0.22507556503511264,0.08931946742064256,0.36931566335043886
L,Track,0.5087957467219508,-0.1047189914090527,0.12443522374469128,0.15934848531916554,0.8872799067938303,-0.03789396261737791,0.1673474408859342,0.26786269327149514,0.8696647114357523,0.23605888706314498,0.2077947193807353,0.27665330074383565
L,ResMan,0.04360142013717293,0.12495161378859532,0.44072323128891155,0.2895130340649452,0.10359492564987921,0.2101261077136655,0.3087512885648094,0.38121184084926,0.3354470406978448,0.3751066030629509,0.25533997282732007,0.3270380151633743
L,SysMon,0.18445616259511496,0.11428239389315198,0.2891632789541453,0.1307463440542555,0.010909220597779604,0.17709420137087475,0.27032574774613194,0.03398228763590076,0.1233147019950777,0.2704107169007398,0.19804559666434696,-0.03928982937282098
L,Comms,0.11823218047452512,0.07519923744688647,0.3200780956081157,0.5331565183606551,0.060915548758169895,0.021507963933327053,0.19372993539312194,0.5413227592398342,0.38701605909219927,0.2886723008725846,0.012554549002721665,0.3616816429669717
