,,H,H,H,H,M,M,M,M,L,L,L,L
,,Track,ResMan,SysMon,Comms,Track,ResMan,SysMon,Comms,Track,ResMan,SysMon,Comms
H,Track,2.0658147273404054e-10,0.3115592172328448,0.33710690770794055,0.3969840658745778,4.6630514171261675e-12,0.9978783351308198,0.15544661679215718,0.4594374012208635,4.0580212472686046e-05,0.7794274634644917,0.24598775260558697,0.4869504900108861
H,ResMan,0.27617290843401787,0.002309928498233825,0.5983956705036346,0.34628931542391705,0.99802288546108,0.04006155242998665,0.32600011322166056,0.8054574609865937,0.5297156419378886,0.0798272316784411,0.28062044415605336,0.81357311273898
H,SysMon,0.802596233299111,0.418080129144768,0.05613254202258375,0.11223099659733221,0.8265671602646483,0.5450574022138505,0.016321455145544783,0.010519463698426445,0.4006459119041464,0.09003341550789198,0.09029605967845922,0.111905593964018
H,Comms,0.8375424230313638,0.9120037190680989,0.013422824626992801,5.475175016970651e-06,0.3796036475931065,0.100834811364055,0.04598884963601349,0.0001585858307181032,0.0018669008937860002,0.25545693024538874,0.08469391939702076,0.02472396173643815
M,Track,6.531434203470088e-11,0.48075758023018234,0.8229787308703613,0.45421696281127794,3.232632526708331e-19,0.4339084187134805,0.7708057820088952,0.34420909212206746,1.650872471974928e-06,0.957418562206024,0.47504195980162034,0.5074247724121317
M,ResMan,0.2663794214891531,0.05593243672660618,0.20287620592031388,0.4856081706786487,0.5727770549542774,2.214244864101356e-06,0.2192193332203473,0.7119392051481398,0.264711002508022,0.016820158886540135,0.8548722507653148,0.23170147954109344
M,SysMon,0.7243490674637312,0.16122120808176146,0.008105698489662878,0.03329365371247809,0.9383899305305222,0.5134883985003404,3.278417797778713e-07,0.35401725888279767,0.6243314233142325,0.13542116622919717,0.17622114782040615,0.42653583237245596
M,Comms,0.5723774028612105,0.20330974212726804,0.027889003632626225,1.3518547808160186e-05,0.3789327600119494,0.683825249646167,0.05684259721710437,1.1125262854687111e-07,0.005806436680484172,0.057318635778884075,0.4555891206059011,0.0014100925592826462
L,Track,5.8834517337130796e-06,0.38478769913998956,0.3011717354099362,0.1843894276666681,1.516517749594115e-24,0.7554608797002048,0.16614251828919763,0.024968680170125775,7.675892559822352e-23,0.04749413563085028,0.08205837262635597,0.019515817862973184
L,ResMan,0.7180675524677355,0.29915439286516154,0.00011979068194017981,0.014330465543622732,0.39342054961584005,0.08082204312251165,0.009307254888851204,0.0011303184892707836,0.004240213766426065,0.0012678360060554142,0.03162601080645816,0.005373466622564675
L,SysMon,0.12358138180909395,0.3426298116870403,0.014453933829980777,0.27712227468272843,0.9285794218989557,0.1424800728593344,0.02361714674495265,0.7800318216727682,0.3055796013820245,0.02256340064053208,0.09780602842331387,0.7449454911509202
L,Comms,0.3260956271355465,0.5331029037952337,0.006505713750098108,1.6942284716953305e-06,0.6164098598167036,0.8597213823267571,0.10806741140810705,1.3072954048884724e-06,0.0008557106157492283,0.014628803044964495,0.917238497239303,0.0019408883592346216
