,,H,H,H,H,M,M,M,M,L,L,L,L
,,Track,ResMan,SysMon,Comms,Track,ResMan,SysMon,Comms,Track,ResMan,SysMon,Comms
H,Track,0.9999999999999998,0.3617994694104632,0.03157052583603538,0.15906062530264703,0.6886074095334728,0.004567924375534341,-0.059426473057742624,0.062384993467594664,0.5697772689306486,0.030208095084605164,0.19624634665943663,-0.12294872479181765
H,ResMan,0.3617994694104632,1.0,0.21991281382580205,0.20124779008088253,0.036140718646401976,0.28771217664159426,0.005849547466583671,0.003349928278976228,-0.04237772787934348,0.144618856024461,-0.04040117119299916,-0.21503202989038547
H,SysMon,0.03157052583603538,0.21991281382580208,1.0,0.2714206096457626,-0.006098455865008748,0.11163376680577633,0.5738142618911528,0.22759166261562405,0.19776510341757245,0.32331684394475346,0.29254155804308923,0.22783550693246415
H,Comms,0.159060625302647,0.20124779008088256,0.27142060964576253,1.0,0.06480179275867616,0.06632715043873372,0.13679600720573706,0.5375299456185961,0.3235825421000339,0.21667176956165643,0.13759694529925795,0.33071794700305057
M,Track,0.6886074095334728,0.036140718646401976,-0.006098455865008775,0.06480179275867615,1.0,0.10365427507788509,0.0009583361249343829,0.11929029847235784,0.795836962857503,0.1485880198580927,0.1693417627091424,0.11219488906277036
M,ResMan,0.0045679243755343615,0.28771217664159426,0.11163376680577633,0.06632715043873373,0.1036542750778851,0.9999999999999997,-0.02987715839842237,-0.026495525892916504,0.011738907112588019,0.5945502028429793,-0.07826339959926815,0.09712757007296252
M,SysMon,-0.059426473057742596,0.0058495474665836815,0.5738142618911529,0.13679600720573706,0.0009583361249344106,-0.029877158398422362,0.9999999999999999,0.18780354838160634,0.1424947483654169,0.07916867988882385,0.36638976197290996,0.09519108312025484
M,Comms,0.06238499346759465,0.0033499282789762348,0.22759166261562405,0.5375299456185961,0.11929029847235782,-0.026495525892916497,0.1878035483816064,1.0,0.3965582735921178,0.286176210872923,0.018892343581248253,0.5481394896523772
L,Track,0.5697772689306486,-0.0423777278793435,0.19776510341757247,0.3235825421000339,0.795836962857503,0.011738907112588026,0.1424947483654169,0.3965582735921178,1.0,0.35684178707395253,0.2947755579365491,0.3122493298790938
L,ResMan,0.030208095084605167,0.144618856024461,0.3233168439447534,0.21667176956165635,0.14858801985809272,0.5945502028429793,0.0791686798888239,0.286176210872923,0.35684178707395253,0.9999999999999998,0.059116530619923724,0.30127301443942445
L,SysMon,0.1962463466594366,-0.040401171192999144,0.29254155804308923,0.13759694529925798,0.16934176270914233,-0.07826339959926815,0.36638976197290996,0.018892343581248226,0.2947755579365491,0.05911653061992373,1.0,0.11174740313220063
L,Comms,-0.12294872479181762,-0.21503202989038545,0.22783550693246418,0.3307179470030507,0.11219488906277039,0.09712757007296254,0.09519108312025487,0.5481394896523774,0.3122493298790938,0.30127301443942445,0.11174740313220066,1.0
