,,H,H,H,H,M,M,M,M,L,L,L,L
,,Track,ResMan,SysMon,Comms,Track,ResMan,SysMon,Comms,Track,ResMan,SysMon,Comms
H,Track,0.0,0.0017916396870354587,0.7923486230469224,0.18201809592659907,3.2011198364193615e-11,0.9698415613669783,0.622518777100685,0.6052688150937169,1.7537309515355889e-07,0.8011217551479852,0.09849979945236406,0.3035238422437195
H,ResMan,0.0017916396870354587,0.0,0.0634311314825464,0.09004715081368245,0.7647725588274393,0.01497604191005102,0.9613857606892102,0.977880657152135,0.7237492358030928,0.22549754240646713,0.7361522127969576,0.06968424577041285
H,SysMon,0.7923486230469224,0.06343113148254613,0.0,0.02109669502439889,0.9597439942736998,0.35400554570683496,1.6847462574390657e-07,0.05628608189657677,0.09586997824557984,0.005601419319383676,0.012643109548263445,0.05425297246674949
H,Comms,0.18201809592659907,0.09004715081368245,0.02109669502439889,0.0,0.5913350066199637,0.5826156433646068,0.25530376523753473,1.3408473247000423e-06,0.005560154172605572,0.06753047753152676,0.24907165548207738,0.004547782981051534
M,Track,3.2011198364193615e-11,0.7647725588274393,0.9597439942736998,0.5913350066199637,0.0,0.38966562785041625,0.9936714453225718,0.3217538881000624,1.1042390107803411e-16,0.21620595256215386,0.15801154697762945,0.3515762749537601
M,ResMan,0.9698415613669783,0.01497604191005102,0.35400554570683496,0.5826156433646068,0.38966562785041625,0.0,0.8046481569228788,0.8263922427367036,0.922598229715356,4.581826800870355e-08,0.5165000254217278,0.420362576603731
M,SysMon,0.622518777100685,0.9613857606892102,1.6847462574390657e-07,0.25530376523753473,0.9936714453225718,0.8046481569228788,0.0,0.11679650386094814,0.23584729695794834,0.5116455169966114,0.001675076717520232,0.4297306504735177
M,Comms,0.6052688150937169,0.977880657152135,0.05628608189657677,1.3408473247000423e-06,0.3217538881000624,0.8263922427367036,0.11679650386094724,0.0,0.00061780918112328,0.015546306120051319,0.8757350615203504,7.497136522351445e-07
L,Track,1.7537309515355889e-07,0.7237492358030928,0.09586997824557984,0.005560154172605572,1.1042390107803411e-16,0.922598229715356,0.23584729695794834,0.00061780918112328,0.0,0.0020917298929625412,0.011950602195833611,0.0075789366757858315
L,ResMan,0.8011217551479852,0.22549754240646713,0.005601419319383676,0.06753047753152676,0.21620595256215386,4.581826800870355e-08,0.5116455169966114,0.015546306120051319,0.0020917298929625412,0.0,0.6218196521572112,0.010120152020585874
L,SysMon,0.09849979945236406,0.7361522127969576,0.012643109548263445,0.24907165548207738,0.15801154697763004,0.5165000254217278,0.001675076717520232,0.8757350615203504,0.011950602195833611,0.6218196521572112,0.0,0.3500230601647647
L,Comms,0.3035238422437195,0.06968424577041285,0.05425297246674949,0.004547782981051534,0.3515762749537601,0.420362576603731,0.4297306504735177,7.497136522351445e-07,0.0075789366757858315,0.010120152020585874,0.3500230601647641,0.0
