participant,condition,window_index,window_start_s,window_end_s,center_face_magnitude_mean_abs_vel,center_face_magnitude_mean_abs_acc,center_face_magnitude_rms,avg_pupil_magnitude_mean_abs_vel,avg_pupil_magnitude_mean_abs_acc,avg_pupil_magnitude_rms,avg_pupil_x_mean_abs_vel,avg_pupil_x_mean_abs_acc,avg_pupil_x_rms,avg_pupil_y_mean_abs_vel,avg_pupil_y_mean_abs_acc,avg_pupil_y_rms,blink_dist_mean_abs_vel,blink_dist_mean_abs_acc,blink_dist_rms,head_rotation_angle_mean_abs_vel,head_rotation_angle_mean_abs_acc,head_rotation_angle_rms,mouth_dist_mean_abs_vel,mouth_dist_mean_abs_acc,mouth_dist_rms,center_face_x_mean_abs_vel,center_face_x_mean_abs_acc,center_face_x_rms,center_face_y_mean_abs_vel,center_face_y_mean_abs_acc,center_face_y_rms
468,H,0,0,59.98333333,2.275008827,104.0528745,0.107327892,0.293818418,5.903582062,0.155778964,0.279084506,6.12101884,0.155452215,0.343607231,7.340473722,0.199513116,0.674300568,24.29522227,0.132966304,0.753286016,29.03633743,0.155168393,0.734377007,30.91193262,0.11722342,1.057360548,41.19925313,0.164741704,0.722076037,26.7324902,0.13421854
468,H,1,30,89.98333333,2.234986024,102.0010912,0.106008045,0.307430597,5.831454467,0.155748794,0.29104989,5.952821413,0.140980864,0.341446054,7.453942401,0.196205345,0.708024881,25.51368132,0.110521125,0.662816816,25.91696232,0.122051414,0.832728266,33.47656068,0.174036767,1.027465699,40.5543487,0.148543748,0.673548644,25.25492105,0.108084911
468,H,2,60,119.9833333,2.120884336,95.42594425,0.099257224,0.212006617,4.972805114,0.089595939,0.219470847,5.255659518,0.091997011,0.216005136,6.286074687,0.093652752,0.628060074,23.79278347,0.080426807,0.49890646,20.07075723,0.080780384,0.933672767,36.24935079,0.201241083,0.91863925,36.9384815,0.118746617,0.631341875,24.57497991,0.083296409
475,M,0,0,59.98333333,2.329402108,107.2287057,0.109940622,0.207771391,4.689028164,0.137637631,0.19237529,4.389993693,0.145230833,0.289969968,8.632145319,0.137528677,0.525664694,18.64588106,0.102593179,0.323384503,13.10383779,0.078499373,0.410241867,16.14182167,0.150684278,0.991205359,37.10554834,0.168090742,0.76199713,27.87676082,0.141601843
475,M,1,30,89.98333333,2.238335276,101.7423062,0.102817586,0.190082554,4.562229436,0.120907704,0.174704526,4.290493809,0.124531697,0.249745923,7.275267754,0.125577315,0.500518486,18.6715655,0.098039067,0.301136585,11.97399529,0.164516966,0.366349104,15.01920761,0.076090208,0.93816466,35.46100523,0.150179277,0.685625913,24.37318267,0.145737222
475,M,2,60,119.9833333,2.058025102,92.83216027,0.092320348,0.169713326,4.249943015,0.134189105,0.161764896,4.069809003,0.143056875,0.210794151,6.394504918,0.132428743,0.467518289,17.80992636,0.084439152,0.32848932,12.57609133,0.215927481,0.478290656,18.24137072,0.13593932,0.907343037,35.15513763,0.148089886,0.65623782,23.97940108,0.179668739
430,M,0,0,59.98333333,2.223197426,101.1275788,0.116804223,0.258103063,4.388720776,0.157544877,0.236105255,4.190763674,0.144875988,0.261781801,5.651193596,0.158754114,0.552942951,19.54335879,0.132861923,0.846278129,32.97882477,0.200010839,0.341700336,15.56822567,0.017070815,1.118159403,43.11121953,0.13592133,0.863682342,30.18305496,0.140663698
430,M,1,30,89.98333333,1.896138604,84.60501313,0.092551155,0.205203473,3.865842249,0.111366396,0.193942349,3.886236638,0.110363092,0.200812737,4.550406953,0.126020307,0.429798987,16.01590032,0.084832512,0.788011608,31.09043101,0.146606169,0.605550735,22.78268568,0.129081282,1.049381055,42.64490073,0.148250769,0.686046091,25.2476019,0.113515989
430,M,2,60,119.9833333,2.005681614,88.39383038,0.096834189,0.234044032,4.314869749,0.135265702,0.207469135,4.247882642,0.117533418,0.244837201,5.13194636,0.174342603,0.483488951,17.73498598,0.103132538,0.891620073,35.4840306,0.143133478,0.690212707,25.40518326,0.145779561,1.066812505,42.45419802,0.157947835,0.733472588,27.1882128,0.127606399
451,L,0,0,59.98333333,2.624958594,118.5987482,0.124624799,0.260126127,5.525231852,0.176183811,0.247646633,5.419873409,0.168236253,0.307131377,7.018652458,0.1613153,0.593542372,20.0807703,0.121637872,0.715933758,26.3934418,0.180396695,0.599628544,24.01972451,0.122544983,0.947399327,36.96319579,0.133998881,0.877397906,31.90406543,0.133212973
