participant,condition,window_index,window_start_s,window_end_s,center_face_magnitude_mean_abs_vel,center_face_magnitude_mean_abs_acc,center_face_magnitude_rms,avg_pupil_magnitude_mean_abs_vel,avg_pupil_magnitude_mean_abs_acc,avg_pupil_magnitude_rms,avg_pupil_x_mean_abs_vel,avg_pupil_x_mean_abs_acc,avg_pupil_x_rms,avg_pupil_y_mean_abs_vel,avg_pupil_y_mean_abs_acc,avg_pupil_y_rms,blink_dist_mean_abs_vel,blink_dist_mean_abs_acc,blink_dist_rms,head_rotation_angle_mean_abs_vel,head_rotation_angle_mean_abs_acc,head_rotation_angle_rms,mouth_dist_mean_abs_vel,mouth_dist_mean_abs_acc,mouth_dist_rms,center_face_x_mean_abs_vel,center_face_x_mean_abs_acc,center_face_x_rms,center_face_y_mean_abs_vel,center_face_y_mean_abs_acc,center_face_y_rms
468,H,0,0,59.98333333,1.297604935,59.21767613,0.059451798,0.165415097,3.354666363,0.091226087,0.150521918,3.345606482,0.085974725,0.207857658,4.785325815,0.113702038,0.356578807,12.57690459,0.072770557,0.459017841,17.40083661,0.1176193,0.708419012,27.36047802,0.106760242,0.853079406,31.20164222,0.100965633,0.642017789,23.21631008,0.118335317
468,H,1,30,89.98333333,1.284567003,58.28902903,0.058315164,0.159500091,3.297537336,0.105345407,0.149920303,3.382475408,0.101048842,0.181909741,4.458024182,0.092443132,0.358516213,13.05316019,0.063303551,0.406425681,15.51563141,0.075821627,0.761898647,28.57938479,0.137740769,0.820977448,30.92039213,0.097655498,0.596292968,22.20459643,0.100114133
468,H,2,60,119.9833333,1.286333397,58.38185137,0.058780034,0.148253874,3.36293877,0.083372186,0.14572813,3.517578044,0.079095564,0.163074139,4.341415196,0.07822901,0.373876432,13.80557035,0.057638241,0.403555923,16.09151132,0.072890666,0.70408519,27.16246836,0.131300905,0.770568594,29.61591206,0.087084778,0.590022586,21.82757359,0.09627507
468,H,3,90,149.9833333,1.321018468,59.44337387,0.063461552,0.17538321,3.648224069,0.124150117,0.169892131,3.79551177,0.108701024,0.203152247,4.82537726,0.13413026,0.399184898,14.6080161,0.078783605,0.445981622,17.37751794,0.092900015,0.7446365,29.26144685,0.123073947,0.83756219,32.28874208,0.112094665,0.65054452,24.12549855,0.09896778
468,H,4,120,179.9833333,1.302798564,58.59030041,0.063574633,0.175518901,3.586056174,0.129307294,0.164152616,3.67538802,0.11747509,0.228752163,5.029906429,0.133754032,0.389300071,14.00178937,0.088862614,0.431847359,16.46487145,0.084680289,0.707602615,29.04199443,0.101516824,0.859417729,32.88592729,0.125682582,0.640448067,24.01235247,0.103671416
468,H,5,150,209.9833333,1.259941923,56.47321239,0.061745897,0.173552967,3.432978193,0.11448664,0.160524114,3.446726941,0.110430397,0.212402653,4.8570488,0.10159728,0.385654841,13.76020365,0.073701393,0.417099039,15.84389898,0.076740601,0.730471899,28.19938705,0.11570108,0.830286577,31.54506457,0.13024512,0.612094354,22.88607342,0.099786717
468,H,6,180,239.9833333,1.348462509,60.68357365,0.06820299,0.20008884,3.63507972,0.126114642,0.188957179,3.713703368,0.119650393,0.220127832,5.099135415,0.110231979,0.40310306,13.96701747,0.092238493,0.460078707,17.19794069,0.103441931,0.824719707,30.03689759,0.144398119,0.869172764,32.51255408,0.13563435,0.699207476,25.77825625,0.11286177
468,H,7,210,269.9833333,1.357838966,61.30316904,0.066805826,0.204027799,3.529502872,0.158672999,0.197561076,3.63316461,0.15575048,0.206719644,4.831246567,0.109094178,0.394856563,13.37946994,0.110113321,0.407866015,15.6765348,0.097892238,0.762569568,29.43098532,0.122451377,0.81188616,30.74349219,0.109940311,0.713733173,25.8540034,0.1181093
468,H,8,240,299.9833333,1.242423681,55.5651084,0.057681359,0.185236908,3.334399113,0.14733954,0.179994083,3.405087991,0.144870343,0.176744379,4.331470182,0.104499634,0.354400645,12.28574159,0.102097083,0.379172133,15.44132177,0.088080715,0.716624508,29.20767104,0.106010801,0.794528306,30.86155349,0.078336372,0.629110693,23.1015176,0.11213768
468,H,9,270,329.9833333,1.238042006,55.50963322,0.058650424,0.147429126,3.247124114,0.108151468,0.143070021,3.326692624,0.106794279,0.158009578,4.196591351,0.091047579,0.330564671,11.94048666,0.083386365,0.416602402,16.90497749,0.075597061,0.700910577,28.00776155,0.112482138,0.853542504,33.17341905,0.094118006,0.563681063,21.7360643,0.104469424
