participant,condition,mental_demand,physical_demand,time_pressure,performance,effort,frustration
415,H,5.561825,4.404417,5.0,4.758873,5.53289,5.221836
443,M,7.623457,2.480228,4.881848,8.2962,6.63966,5.489487
446,M,8.419174,5.59076,5.120563,6.364776,7.182195,2.176408
416,H,8.56385,8.310667,8.267265,4.6576,6.596258,5.641397
474,M,10.0,4.874614,4.209105,6.683063,10.0,5.786073
442,M,6.589024,6.950714,7.182195,2.31385,7.355806,5.22907
425,H,7.471547,7.818769,8.245563,6.466049,7.174961,8.737461
472,H,8.722994,6.068191,2.111304,5.995853,7.478781,4.209105
429,M,7.088156,3.109568,6.719232,6.900077,6.270737,2.010031
450,H,10.0,5.626929,8.093654,4.397184,10.0,6.979649
431,H,8.158758,8.006848,7.080922,3.015529,7.500482,5.0
420,H,5.0,3.160204,4.129533,3.731674,5.0,4.02826
427,M,5.793306,3.485725,6.126061,5.330343,5.453318,5.916281
450,L,10.0,2.986593,6.154996,5.0,8.361304,6.357542
455,M,9.120853,6.089892,8.231096,3.420621,8.455343,6.234568
460,M,6.957948,5.0,5.583526,2.096836,5.561825,4.006559
460,L,6.017554,7.030285,4.201871,2.870853,6.227334,3.022762
435,L,9.359568,5.64863,7.630691,6.42988,6.437114,6.024788
442,L,7.051987,7.471547,6.458816,2.943191,7.522184,5.279707
419,H,8.455343,2.501929,8.100887,1.525367,10.0,6.683063
419,M,9.511478,3.500193,9.612751,0.27392,10.0,9.381269
473,L,9.07745,0.425829,7.811535,4.462288,8.043017,8.08642
419,L,8.911073,3.138503,9.482542,0.809221,10.0,7.977913
432,M,4.339313,4.787809,2.364487,9.374035,6.661362,1.395158
435,H,10.0,5.0,7.00135,5.0,8.050251,6.769869
420,M,3.688272,1.843654,2.147473,2.002797,4.614198,1.821952
422,M,6.589024,3.0951,6.52392,5.547357,5.547357,5.706501
475,H,9.200424,5.815008,6.053723,6.017554,9.525945,4.165702
476,H,5.048225,8.252797,5.605228,2.545332,6.560089,6.466049
468,H,8.513214,2.328318,9.142554,2.277681,8.860436,8.809799
452,L,10.0,0.0,6.263503,8.477045,10.0,1.250482
424,M,6.748167,6.024788,5.511188,4.035494,5.880112,5.53289
472,M,6.907311,6.097126,2.82745,8.737461,6.111593,6.299672
404,H,9.656154,8.845968,8.100887,5.395448,8.65789,3.999325
466,H,8.542149,1.033468,9.13532,5.597994,7.637924,4.08613
441,L,2.25598,1.098573,0.0,0.0,1.981096,0.0
412,H,8.383005,3.044464,6.032022,3.138503,7.09539,7.066454
414,L,6.58179,1.706211,5.0,5.402681,2.574267,2.661073
413,H,6.827739,7.601755,5.923515,5.880112,8.35407,6.386478
471,H,8.274498,4.563561,8.028549,5.966917,8.194927,5.829475
438,H,8.093654,6.849441,7.637924,3.912519,6.169464,5.359279
429,L,6.480517,2.61767,5.004823,8.100887,7.059221,2.0462
453,H,8.954475,7.037519,8.98341,6.176698,6.060957,5.496721
444,M,7.09539,3.239776,6.88561,3.30488,6.003086,6.79157
441,H,7.775367,1.793017,6.531154,5.771605,4.252508,5.901813
422,H,7.037519,6.538387,8.071952,5.728202,6.42988,6.632427
458,M,8.014082,4.172936,5.945216,2.350019,7.355806,4.75164
432,L,8.542149,6.849441,3.6087,9.265529,9.475309,4.013792
417,H,9.055748,7.00135,8.2962,1.453029,8.534915,6.111593
437,L,6.646894,4.469522,6.003086,3.825714,5.807774,4.216339
447,L,7.51495,5.069927,7.384742,7.00135,5.149498,6.299672
439,M,7.775367,7.558353,5.59076,3.391686,7.72473,5.0
445,L,6.589024,6.292438,3.825714,5.467785,4.440586,3.832948
407,H,9.627218,9.446373,9.750193,8.216628,9.627218,3.471258
456,L,8.607253,2.190876,6.668596,5.735436,5.388214,6.603492
428,H,7.746431,5.995853,6.574556,5.597994,7.797068,4.397184
465,H,6.986883,6.762635,6.646894,3.39892,6.415413,6.299672
451,M,8.180459,5.764371,7.088156,5.916281,8.252797,6.335841
416,L,7.681327,7.731964,8.737461,5.778839,7.109857,5.80054
420,L,8.021316,3.435089,6.01032,4.585262,7.051987,5.0
409,H,7.804302,6.111593,8.686825,3.145737,5.663098,5.409915
402,L,8.534915,6.270737,7.57282,6.806038,7.637924,7.695795
433,H,6.654128,7.977913,7.261767,3.297647,4.823978,4.230806
423,M,9.547647,9.612751,8.187693,7.66686,7.840471,1.315586
424,H,8.043017,7.051987,6.032022,4.585262,6.531154,4.592496
418,M,5.525656,6.509452,3.76061,6.842207,3.702739,2.364487
460,H,5.004823,6.603492,5.561825,6.994117,5.0,1.850887
456,M,8.006848,4.172936,6.531154,3.521894,5.894579,6.567323
423,H,10.0,9.294464,9.048515,6.408179,7.536651,2.40789
467,M,7.970679,4.939718,5.511188,7.42091,7.645158,6.834973
