participant,condition,window_start,window_end,track_point_accuracy,resman_point_accuracy,sysmon_point_accuracy,comms_point_accuracy,mean_sysmon_response_time,mean_comms_response_time,window_index
427,H,0,60,0.8627615062761507,0.4333333333333333,1.0,0.6666666666666666,4360.0,3.6435195,0
427,H,30,90,0.8126561199000832,0.3,1.0,0.3333333333333333,3166.6666666666665,3.9490830000000017,1
427,H,60,120,0.8797150041911148,0.8,1.0,1.0,2300.0,4.1194579999999945,2
410,M,0,60,1.0,1.0,1.0,1.0,1680.0,3.8871515000000016,0
410,M,30,90,1.0,1.0,1.0,1.0,4133.333333333333,4.449046000000003,1
410,M,60,120,1.0,1.0,0.5,1.0,6350.0,3.4354359999999957,2
409,H,0,60,0.800339847068819,0.3166666666666666,0.375,1.0,4750.0,2.9456046666666684,0
409,H,30,90,0.7932203389830509,0.0,0.5,0.5,1800.0,3.142394000000003,1
409,H,60,120,0.6896990250105978,0.0,0.5714285714285714,1.0,2150.0,3.2645380000000017,2
455,L,0,60,0.9839932603201348,1.0,1.0,0.0,2550.0,0.0,0
455,L,30,90,0.9916457811194652,0.95,1.0,0.5,3600.0,4.281367000000003,1
455,L,60,120,0.9825,0.95,0.0,1.0,0.0,4.119872000000001,2
415,H,0,60,0.9128964059196616,0.9833333333333332,0.7777777777777778,1.0,2400.0,2.7566489999999995,0
415,H,30,90,0.9216917922948074,0.9833333333333332,1.0,0.5,2760.0,2.7679469999999924,1
415,H,60,120,0.9162457912457912,1.0,1.0,1.0,2500.0,2.903092666666661,2
407,M,0,60,0.8997971602434077,1.0,1.0,0.5,1350.0,1.699227999999998,0
407,M,30,90,0.933630109267503,1.0,1.0,0.5,3520.0,2.718870999999993,1
407,M,60,120,0.8455317428224828,1.0,1.0,1.0,4333.333333333333,2.281908999999999,2
411,M,0,60,0.991969568892646,1.0,1.0,1.0,3360.0,3.814737000000001,0
411,M,30,90,0.9705634987384356,1.0,1.0,0.5,2100.0,3.814737000000001,1
411,M,60,120,0.8640167364016736,1.0,0.8,1.0,1750.0,3.246258999999995,2
465,M,0,60,1.0,0.7833333333333333,1.0,1.0,3933.3333333333335,5.026145999999997,0
465,M,30,90,1.0,0.85,0.0,0.6666666666666666,0.0,4.850526500000001,1
465,M,60,120,1.0,0.8,1.0,1.0,1400.0,4.992687000000004,2
410,L,0,60,1.0,1.0,1.0,1.0,3700.0,4.072639500000001,0
410,L,30,90,1.0,1.0,1.0,1.0,2160.0,3.872613000000001,1
410,L,60,120,1.0,1.0,1.0,0.0,1233.3333333333333,0.0,2
419,M,0,60,0.8797179593529656,1.0,0.75,0.0,3066.6666666666665,0.0,0
419,M,30,90,0.9317991631799164,1.0,0.8,0.5,3600.0,6.4932289999999995,1
419,M,60,120,0.9268394648829432,1.0,0.8333333333333334,1.0,3720.0,4.896055666666669,2
462,H,0,60,0.940928270042194,0.7333333333333333,0.0,0.5,0.0,3.8848030000000016,0
462,H,30,90,0.9426644182124788,0.9333333333333332,0.0,1.0,0.0,5.090281500000003,1
462,H,60,120,0.9428090832632464,1.0,0.0,1.0,0.0,5.140280500000003,2
445,M,0,60,0.9088669950738916,1.0,0.6666666666666666,1.0,2100.0,3.1746244999999984,0
445,M,30,90,1.0,0.85,0.8,1.0,1850.0,4.1712050000000005,1
445,M,60,120,0.9434910004185852,0.7666666666666667,1.0,1.0,1742.857142857143,4.1712050000000005,2
468,M,0,60,0.951271186440678,0.8,-0.3333333333333333,1.0,2200.0,3.544562999999997,0
468,M,30,90,0.9514972585407,0.8166666666666667,0.0,0.0,1000.0,0.0,1
468,M,60,120,1.0,0.7333333333333333,1.0,1.0,2600.0,2.911262999999998,2
453,M,0,60,1.0,1.0,1.0,1.0,1880.0,3.861898999999994,0
453,M,30,90,1.0,1.0,1.0,0.5,1666.6666666666667,3.861898999999994,1
453,M,60,120,0.9857502095557418,0.9666666666666668,0.6666666666666666,1.0,2640.0,3.829082,2
424,H,0,60,0.8182576073363902,0.65,0.4,1.0,3000.0,3.5224544999999994,0
424,H,30,90,0.912826899128269,0.5333333333333333,1.0,0.5,3266.6666666666665,3.257573999999998,1
424,H,60,120,0.8443888193575303,0.7833333333333333,1.0,1.0,3980.0,4.5815000000000055,2
461,L,0,60,1.0,0.6833333333333333,1.0,1.0,1200.0,3.601025500000002,0
461,L,30,90,1.0,0.4666666666666667,1.0,1.0,1200.0,3.6234130000000064,1
461,L,60,120,1.0,0.7833333333333333,0.0,0.0,1200.0,0.0,2
420,M,0,60,0.8802876480541455,1.0,1.0,0.5,2150.0,2.305873999999996,0
420,M,30,90,1.0,1.0,1.0,0.6666666666666666,1800.0,2.348659999999999,1
420,M,60,120,0.8596048759983186,1.0,0.5714285714285714,1.0,2160.0,3.842610000000008,2
446,H,0,60,0.0397295012679628,1.0,1.0,0.5,2840.0,2.463934000000002,0
446,H,30,90,0.0649514972585407,1.0,1.0,0.6666666666666666,4166.666666666667,3.218511999999997,1
446,H,60,120,0.0644891122278056,1.0,0.8888888888888888,1.0,3750.0,2.946307499999996,2
455,M,0,60,1.0,0.9833333333333332,1.0,1.0,1300.0,4.177414000000001,0
